,alpha,beta,delta,epsilon,gamma
S_2_mock_5dpi_S70002,0.45227417,0.25007606,0.26873142,0.0223416,0.00657681
S_3_mock_5dpi_S69997,0.46768674,0.23894286,0.2698136,0.017777456,0.0057794168
S_2_SARS_5dpi_S70003,0.53511924,0.19024646,0.23995201,0.030636027,0.0040463675
S_3_SARS_5dpi_S69996,0.48923427,0.22167705,0.26519853,0.020218272,0.0036719185
S_2_Rem_5dpi_S70001,0.50627583,0.21877639,0.24697635,0.023048377,0.0049231257
S_3_Rem_5dpi_S69995,0.47889185,0.25700843,0.23229271,0.025557421,0.006249587
