,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK
lnc_10,0.24269626,0.1884006,0.20077762,0.0031054264,0.26876226,0.0962579
lnc_11,0.22282344,0.1669726,0.17575337,0.029868796,0.29089305,0.11368879
lnc_13,0.2908275,0.083241604,0.10899146,0.09278243,0.32308555,0.10107145
lnc_14,0.30362594,0.123266935,0.12795368,0.03465068,0.28477132,0.12573148
lnc_15,0.2009278,0.20617232,0.18281743,0.0022450571,0.27251297,0.13532445
lnc_16,0.32735837,0.11695239,0.11254099,0.04688725,0.25413036,0.14213063
lnc_17,0.2797223,0.14832567,0.17156479,0.011764735,0.17130247,0.21731997
lnc_18,0.25701013,0.15924592,0.18124701,0.00971794,0.23243865,0.16034031
lnc_19,0.19066884,0.16152526,0.21088362,0.023309201,0.2721968,0.14141631
lnc_20,0.12226635,0.21396598,0.2350435,0.035054374,0.30069384,0.092975944
lnc_21,0.22006862,0.14961305,0.17648433,0.032737937,0.29594514,0.12515095
lnc_23,0.07892405,0.21020134,0.22961754,0.055856615,0.30655852,0.11884193
lnc_24,0.08481481,0.23416482,0.23391663,0.038316347,0.29756513,0.11122218
lnc_25,0.34283605,0.143762,0.19044554,0.013276508,0.18539485,0.12428505
lnc_26,0.31218818,0.096435465,0.20106523,0.033063926,0.19130643,0.16594079
lnc_27,0.31537664,0.1348732,0.19597688,0.0134113,0.21963638,0.120725565
lnc_28,0.20719714,0.22308517,0.18480133,0.017333465,0.18599677,0.18158616
lnc_29,0.18885978,0.14990212,0.18019134,0.04257691,0.27823624,0.16023362
lnc_30,0.28442043,0.11310066,0.15314023,0.033076383,0.30547026,0.11079199
lnc_31,0.21853265,0.21647298,0.17669876,0.016985549,0.25282326,0.11848669
lnc_33,0.16986363,0.19624309,0.20978488,0.025747204,0.28861624,0.10974499
lnc_34,0.12977998,0.15139201,0.19508445,0.06042608,0.2819136,0.18140386
lnc_35,0.16402905,0.14645323,0.18472755,0.05066135,0.29535475,0.15877403
lnc_36,0.18100555,0.15200892,0.18920624,0.035166666,0.3053124,0.13730022
lnc_37,0.13720044,0.17848445,0.20124994,0.036293752,0.27130178,0.17546964
lnc_38,0.21782203,0.109501764,0.20141715,0.030815061,0.24674845,0.19369555
lnc_39,0.15761349,0.13282226,0.25671387,0.02037873,0.206156,0.2263156
lnc_40,0.19378039,0.14125973,0.19908004,0.04082974,0.33684483,0.08820525
lnc_41,0.21945924,0.10380417,0.19919698,0.048409726,0.2670277,0.16210225
lnc_44,0.2586297,0.07775742,0.12677297,0.094362475,0.32733318,0.11514418
lnc_45,0.24052663,0.15313739,0.18812567,0.041095633,0.3083924,0.06872229
lnc_46,0.25602433,0.081843376,0.21759652,0.029491011,0.2220333,0.19301146
lnc_47,0.22788101,0.11380428,0.16924834,0.05661871,0.31384417,0.11860346
lnc_5,0.21869773,0.13668676,0.17617047,0.0507347,0.2882126,0.12949777
lnc_6,0.261355,0.120347224,0.17580046,0.023414956,0.24718381,0.17189862
lnc_7,0.15559855,0.18413994,0.20635423,0.033546943,0.29697543,0.12338491
lnc_8,0.18236616,0.1466874,0.22122844,0.026891101,0.2844217,0.13840519
lnc_9,0.2039531,0.18269242,0.19413088,0.005456427,0.31157768,0.102189474
