,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK
lnc_10,0.26981178,0.21211311,0.1715449,0.0,0.25613824,0.09039191
lnc_11,0.2505861,0.17079563,0.13279033,0.0034801143,0.31583768,0.12651014
lnc_13,0.31747213,0.060172442,0.05111123,0.04606767,0.39973012,0.12544648
lnc_14,0.33584505,0.120135926,0.07970434,0.0,0.32653964,0.13777502
lnc_15,0.21587272,0.21006376,0.14591634,0.0,0.28291467,0.14523248
lnc_16,0.357479,0.11586553,0.07450593,0.02054306,0.2823779,0.14922854
lnc_17,0.28523424,0.16937801,0.15083756,0.0032219733,0.17309818,0.21823004
lnc_18,0.27282512,0.1719863,0.15391107,0.0,0.23594531,0.16533226
lnc_19,0.20673594,0.16045271,0.1747713,0.0041178986,0.29236534,0.16155675
lnc_20,0.13839756,0.23303096,0.19153656,0.017638411,0.30962238,0.109774165
lnc_21,0.24005666,0.1378498,0.13456038,0.0059796437,0.33510396,0.14644961
lnc_23,0.07917019,0.21432054,0.1791768,0.035602417,0.33957258,0.15215741
lnc_24,0.09107112,0.24810408,0.18570438,0.02303557,0.3134141,0.13867077
lnc_25,0.37629083,0.17287815,0.18253012,0.007225523,0.15938587,0.10168944
lnc_26,0.33560395,0.10973618,0.18663839,0.02229735,0.18584856,0.1598755
lnc_27,0.3472771,0.14790596,0.19010234,0.0017852652,0.20168665,0.11124267
lnc_28,0.21869543,0.25416544,0.16520298,0.01687322,0.16616905,0.17889392
lnc_29,0.19652131,0.14108083,0.12884365,0.020194244,0.32166713,0.19169274
lnc_30,0.31373963,0.100267775,0.10098374,0.0,0.3556005,0.12940839
lnc_31,0.24462368,0.24778306,0.14547887,0.002648338,0.24324384,0.11622221
lnc_33,0.18737198,0.20132463,0.18046102,0.0063278605,0.29952,0.124994494
lnc_34,0.12270882,0.12766437,0.14621294,0.03659807,0.33973387,0.22708188
lnc_35,0.16150472,0.12123325,0.13632132,0.02498634,0.35571215,0.20024225
lnc_36,0.19096375,0.12765817,0.14089474,0.0030462705,0.3625932,0.17484388
lnc_37,0.13916135,0.15792687,0.1628096,0.013901626,0.31344342,0.21275719
lnc_38,0.21900122,0.09906887,0.16152637,0.007701917,0.287311,0.22539058
lnc_39,0.15421419,0.13034679,0.22783422,0.011403945,0.22441624,0.25178453
lnc_40,0.21826133,0.12462632,0.14502005,0.0043671876,0.3967988,0.11092629
lnc_41,0.23254481,0.090777054,0.15516609,0.023263045,0.3038394,0.19440955
lnc_44,0.2759691,0.048757516,0.05999404,0.048493937,0.4159758,0.15080963
lnc_45,0.27619097,0.16692069,0.1459828,0.010783565,0.32716653,0.07295551
lnc_46,0.26602924,0.07818748,0.19171175,0.008473159,0.24374545,0.2118529
lnc_47,0.24442074,0.09694739,0.10991972,0.021035574,0.3783982,0.14927843
lnc_5,0.23390661,0.13570216,0.12941155,0.022226369,0.32553533,0.15321796
lnc_6,0.27754566,0.11956914,0.13930504,0.00089043484,0.27241188,0.19027795
lnc_7,0.16697879,0.18103229,0.1648913,0.011980967,0.3279124,0.1472043
lnc_8,0.19597776,0.13887943,0.18271446,0.0019438626,0.31424758,0.16623694
lnc_9,0.2212542,0.17882073,0.14480618,0.0,0.3387868,0.11633202
