"lnc_10","lnc_11","lnc_13","lnc_14","lnc_15","lnc_16","lnc_17","lnc_18","lnc_19","lnc_20","lnc_21","lnc_23","lnc_24","lnc_25","lnc_26","lnc_27","lnc_28","lnc_29","lnc_30","lnc_31","lnc_33","lnc_34","lnc_35","lnc_36","lnc_37","lnc_38","lnc_39","lnc_40","lnc_41","lnc_44","lnc_45","lnc_46","lnc_47","lnc_5","lnc_6","lnc_7","lnc_8","lnc_9"
"Bcells",0.330793987662336,0.198058319798815,0.0641838466139224,0.024585498635617,0.22995875867553,0.203489712853153,0.321632423327082,0.44162162909471,0,0,0.0438512407257791,0.0404299161807324,0,0.501288652967433,0.476090792440858,0.616468921103551,0.509363734517034,0.106985359733808,0.0984638919866514,0.156085130693876,0.187905564362538,0,0.0590263226247492,0.0155149124459093,0,0.120981728394105,0.00807018777594926,0,0.159550200686383,0.0510796761430251,0.261642671573489,0.243672059887464,0.130749909706296,0.274361365027862,0.145832783139709,0.13497389433693,0.127227094895337,0.231092163453074
"CD4Tcells",0.669206012337664,0.089231702480112,0,0.230918454212608,0.252561386508444,0.0294596819777375,0.357492599440386,0.256934141965283,0.651961010876237,0.775533234169066,0.0190542525983499,0,0.316502382853724,0.086940827018661,0.314759801826673,0,0.0510601977965196,0.31633387753624,0.141693220269331,0.677306372401065,0.343037356260289,0.109041290003065,0.0114727207735538,0,0.0452623423334073,0,0.31858618639329,0.390018749529571,0,0,0,0.0784467841114015,0,0,0,0.234645191761559,0,0.408242828652101
"CD8Tcells",0,0.259490283562695,0,0.061528304121405,0.308507670479019,0,0,0.169398383816603,0,0,0.311062803498538,0.344775468096776,0.406895842916419,0.404758529433733,0,0.295438217878189,0.403911918329331,0,0.125892217747173,0.052260622880124,0.149697910187499,0,0,0.270288125780661,0.133117077322729,0.0386498632287342,0,0,0.328693408536073,0,0.242135429419581,0,0,0.225772274120901,0.149731567466924,0.219405562085846,0.104834280380553,0.011411717782153
"Dendritics",0,0.15542543266501,0.552504230078806,0,0,0.283997810858627,0,0.0850729646297486,0,0,0.234746261150321,0.383320276797039,0,0,0.017634481419767,0.0630079018703781,0,0.0418475308292331,0,0.114347874024934,0.219997318209255,0,0.0885462235034244,0.134795347892972,0.19932392085112,0.303578670215924,0.183690187410611,0,0.297158329839766,0.0657128808013389,0.42262533140343,0.1316700835695,0.452232752591326,0.38260084408515,0.0401013390659792,0.204272117847755,0.62960921555608,0.0589998121260097
"Monocytes",0,0.213323003778812,0.365758010711879,0.478653425559622,0.208972184337007,0,0,0,0.29168851237577,0.224466765830932,0.313086831140923,0.110549677090402,0.242230804422898,0,0,0,0,0.288911692421442,0.506016803203339,0,0.0993618509804182,0.410582330090655,0.366142920579913,0.312452706085964,0.13981890236473,0.0194394162795261,0,0.609981250470429,0.0783214219362637,0.791040601342552,0.0735965676034996,0,0.367100561542492,0.0255317886867815,0.236150664439378,0.202457839902201,0.138329409168029,0.290253477986662
"NK",0,0.0844712577145552,0.0175539125953928,0.204314317470747,0,0.483052794310483,0.320874977232532,0.0469728804936548,0.0563504767479927,0,0.0781986108860885,0.12092466183505,0.0343709698069583,0.00701199058017316,0.191514924312702,0.0250849591478814,0.0356641493571158,0.245921539479276,0.127933866793505,0,0,0.480376379906279,0.474811812518359,0.266948907794493,0.482477757128013,0.517350321881711,0.489653438420149,0,0.136276639001513,0.0921668417130834,0,0.546211072431634,0.049916776159885,0.0917337280793044,0.42818364588801,0.00424539406570917,0,0
