,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK
lnc_10,0.27361402,0.19168219,0.17335689,0.0,0.246068,0.11527889
lnc_11,0.25826323,0.15166421,0.1283541,0.019104348,0.29434103,0.14827304
lnc_13,0.34149805,0.03277053,0.029924758,0.062082272,0.37755898,0.15616536
lnc_14,0.34250808,0.09776983,0.06762414,0.016078657,0.30551532,0.17050396
lnc_15,0.21930118,0.20286107,0.1430425,0.0,0.2682393,0.16655594
lnc_16,0.36673453,0.09566461,0.058797162,0.031188082,0.26983225,0.17778333
lnc_17,0.29871425,0.147765,0.1500777,0.011124734,0.16105704,0.23126127
lnc_18,0.28250477,0.15770692,0.14713101,0.0031905777,0.22558069,0.18388602
lnc_19,0.2186967,0.13416067,0.17823319,0.013199633,0.277234,0.17847593
lnc_20,0.14357865,0.21708103,0.1975508,0.024778375,0.29135764,0.12565348
lnc_21,0.25162858,0.1198606,0.12593086,0.021581236,0.3102328,0.17076597
lnc_23,0.087734334,0.19940469,0.18848868,0.043264527,0.31368303,0.16742478
lnc_24,0.09371913,0.23931375,0.19729374,0.029837547,0.28977206,0.15006378
lnc_25,0.3711525,0.16226406,0.18174586,0.023818703,0.14020209,0.12081677
lnc_26,0.3415371,0.08005883,0.1917242,0.036337856,0.17355789,0.17678422
lnc_27,0.3480377,0.13686648,0.17993324,0.016749352,0.18796363,0.13044961
lnc_28,0.22757016,0.23901552,0.16780154,0.020250177,0.15710689,0.18825574
lnc_29,0.2148878,0.114019394,0.13090865,0.029244384,0.3033943,0.20754543
lnc_30,0.32893047,0.07515559,0.08982491,0.010132384,0.33811295,0.15784371
lnc_31,0.2512556,0.22837222,0.14253102,0.012649253,0.22983673,0.13535519
lnc_33,0.19313654,0.1934332,0.17119284,0.017292893,0.27894574,0.14599879
lnc_34,0.14466831,0.10649342,0.14359446,0.047726054,0.32048997,0.23702778
lnc_35,0.1856339,0.10151368,0.12937786,0.036011294,0.33082142,0.2166419
lnc_36,0.20753402,0.108892426,0.13405904,0.017061394,0.3358347,0.19661833
lnc_37,0.15042554,0.15176453,0.15320463,0.025250282,0.29479092,0.22456414
lnc_38,0.24615227,0.06327045,0.15956865,0.018460765,0.27367917,0.23886871
lnc_39,0.17108169,0.108458295,0.23084757,0.016530395,0.21736358,0.2557184
lnc_40,0.2328303,0.100247815,0.14231536,0.020775681,0.36575928,0.13807154
lnc_41,0.25018367,0.056742724,0.15737051,0.036883436,0.2907784,0.2080412
lnc_44,0.30150643,0.019686352,0.04590533,0.06358863,0.39005616,0.17925714
lnc_45,0.2909608,0.13366362,0.14245741,0.023795564,0.31005922,0.09906336
lnc_46,0.28334248,0.044183627,0.1925293,0.02079959,0.2348891,0.22425586
lnc_47,0.26722896,0.06573465,0.10587395,0.034009185,0.3531563,0.173997
lnc_5,0.25764462,0.09694307,0.1270401,0.030666519,0.31240317,0.1753025
lnc_6,0.2897094,0.09675689,0.13194521,0.013161283,0.2626477,0.20577952
lnc_7,0.17708014,0.16959332,0.16179697,0.022144109,0.3047461,0.16463934
lnc_8,0.20189801,0.12313546,0.18339524,0.018496608,0.2925905,0.18048415
lnc_9,0.23089781,0.17156224,0.13564698,0.0,0.3176325,0.1442605
