,alpha,beta,delta,epsilon,gamma
S_2_mock_5dpi_S70002,0.453971,0.29142103,0.18687797,0.020045115,0.047684923
S_3_mock_5dpi_S69997,0.4498819,0.26750433,0.2175768,0.017479997,0.04755692
S_2_SARS_5dpi_S70003,0.5148114,0.24545969,0.17180914,0.024348151,0.04357169
S_3_SARS_5dpi_S69996,0.49224812,0.23537332,0.20968619,0.020312652,0.042379737
S_2_Rem_5dpi_S70001,0.47897175,0.27855247,0.17810176,0.019096093,0.045277968
S_3_Rem_5dpi_S69995,0.462001,0.27199802,0.19263457,0.023203397,0.05016296
