,baseMean,log2FoldChange,lfcSE,stat,pvalue,FDR
NM_001278661,98.55314937,-0.082834982,0.196722869,-0.421074488,0.67370069,0.851113378
NM_001278662,67.21713679,-0.281786429,0.234509008,-1.201601728,0.229517872,0.498855955
NM_001278663,51.50874669,-0.183507147,0.372929929,-0.492068704,0.622670776,0.820661566
NM_001278664,63.6619278,0.435760904,0.278292962,1.565835158,0.117387213,0.346827224
NM_001278665,34.53580712,0.213290569,0.354040802,0.602446294,0.546877102,0.771043162
NM_001278666,23.01447255,0.100037342,0.463974276,0.215609674,0.829292014,0.930840608
NM_001278669,26.12622002,0.044849967,0.285239407,0.157236224,0.875058681,0.95025131
NM_001278670,12.64828676,-0.545146897,0.330165384,-1.651132806,0.09871146,0.31729017
NM_001278672,252.5191839,-0.192798923,0.202152858,-0.953728405,0.340221138,0.611955743
NM_001278673,161.2184129,-0.09589093,0.522196311,-0.183630041,0.854303694,0.942041283
NM_001278675,458.0717093,-0.004039058,0.076273733,-0.052954771,0.957767944,0.98399725
NM_001278677,149.9964436,0.029132434,0.156848341,0.18573632,0.852651544,0.941297003
NM_001278678,86.83012763,0.315514098,0.248130543,1.271564936,0.203527742,0.469071233
NM_001278682,87.21033237,-0.048459038,0.248533907,-0.194979586,0.845408929,0.938291334
NM_001278684,22.50681269,-0.195467518,0.409345694,-0.47751209,0.632997514,0.827278433
NM_001278687,134.6700694,0.016912938,0.209169206,0.080857688,0.93555513,0.975960322
NM_001278689,424.0886967,0.313092503,0.104004024,3.010388372,0.002609138,0.039218947
NM_001278690,84.19520404,-0.499090311,0.197494698,-2.527107391,0.011500633,0.090356264
NM_001278694,142.7283066,-0.018927027,0.213745294,-0.088549446,0.929439986,0.973397513
NM_001278695,806.2350423,0.204421789,0.176103307,1.160806079,0.24572077,0.517961834
NM_001278696,208.835609,0.420273766,0.29915722,1.404859176,0.160063158,0.4108359
NM_001278698,52.3190893,-0.113194929,0.279123254,-0.405537437,0.685082506,0.857505927
NM_001278699,60.40437945,-0.040905469,0.273075175,-0.149795636,0.880925853,0.952912945
NM_001278700,169.0505541,-0.072796947,0.117098351,-0.621673549,0.534156548,0.762373379
NM_001278708,853.846008,-0.37584593,0.224907847,-1.671110791,0.094699796,0.310127936
NM_001278709,213.0971452,-0.468299044,0.308486857,-1.518051847,0.129001329,0.366266177
NM_001278711,19.34502449,0.066164955,0.399858089,0.165471093,0.868573201,0.948299563
NM_001278712,301.3499866,-0.341184247,0.122115592,-2.793944993,0.005206933,0.05715729
NM_001278713,11.96176099,-0.299001058,0.311123376,-0.961036943,0.336533593,0.609124042
NM_001278716,334.8346547,0.032232409,0.142466908,0.226244881,0.821010965,0.927461651
NM_001278718,7.065184849,-0.045959218,0.205575013,-0.223564223,0.823096405,0.928204784
NM_001278728,523.0316984,-0.067478107,0.064275557,-1.049825311,0.293798436,0.569329856
NM_001278730,30.41544653,-0.072255255,0.372769746,-0.193833475,0.846306275,0.938773024
NM_001278731,171.6189247,-0.388220933,0.26032941,-1.491268053,0.135891133,0.376841048
NM_001278732,83.45626525,-0.181437385,0.232414686,-0.780662308,0.435001135,0.691654604
NM_001278733,845.2599142,-0.564291139,0.240117926,-2.350058356,0.018770468,0.121742306
NM_001278734,110.6872169,-0.275933287,0.277923301,-0.9928397,0.320788079,0.595952076
NM_001278736,2612.942489,0.194124894,0.120642747,1.609088807,0.107596924,0.331898356
NM_001278740,15.98553441,-0.332040336,0.354911812,-0.9355573,0.349501168,0.620753391
NM_001278741,16.74512917,-0.599011392,0.332750128,-1.800183806,0.07183162,0.264148831
NM_001278742,15.13155575,-0.756529178,0.391391553,-1.932921577,0.053245859,0.222051058
NM_001278743,17.36911294,-0.773138934,0.335723918,-2.302900966,0.021284416,0.130695306
NM_001278784,489.273882,0.045760646,0.086230557,0.530677847,0.59564204,0.802565639
NM_001278785,175.5490179,0.241317369,0.125828337,1.917830074,0.055132561,0.226625971
NM_001278789,499.2467736,-0.345264675,0.152641253,-2.261935535,0.023701386,0.139328222
NM_001278790,169.7141346,-0.379935804,0.246130078,-1.543638258,0.122675991,0.355842308
NM_001278791,90.07357652,-0.112449167,0.135481063,-0.829999151,0.406539264,0.669600568
NM_001278792,137.6324305,-0.216748776,0.155733757,-1.39179058,0.163985823,0.416148617
NM_001278793,41.53751741,-0.236346334,0.19225677,-1.229326461,0.21894943,0.486856643
NM_001278926,96.86789214,-0.32854315,0.271431364,-1.210409679,0.22612173,0.495459553
NM_001278928,11.97476757,-0.752411133,0.48321351,-1.55709871,0.119447051,0.350547603
NM_001278929,111.2032503,-0.916877134,0.431561531,-2.124557147,0.033623583,0.170704009
NM_001278938,263.7927502,-0.137576498,0.291400648,-0.472121456,0.636840098,0.829448438
NM_001278940,142.5421492,-0.384830629,0.273128515,-1.408972727,0.158843233,0.408796769
NM_001278942,41.86594009,-0.416935816,0.300281398,-1.388483667,0.164989815,0.417205621
NM_001278946,10.75368582,-1.191550271,0.428317556,-2.781931899,0.005403638,0.058153835
NM_001279349,27.98599348,0.124667367,0.311787717,0.399846949,0.689269249,0.860085791
NM_001279350,18.2037596,-0.718933174,0.493447191,-1.456960716,0.145127224,0.390190872
NM_001279351,191.4717178,-0.013577624,0.368678078,-0.036827859,0.970622261,0.988745498
NM_001279353,16.52569062,-0.684622942,0.442803981,-1.546108371,0.122078397,0.354718556
NM_001279354,776.5285501,0.026878972,0.09365125,0.287011358,0.774103623,0.904317715
NM_001279355,107.6997654,0.023590611,0.546558195,0.04316212,0.965572301,0.986916898
NM_001279356,86.65977525,0.339375736,0.433815837,0.782303702,0.434036112,0.690977819
NM_001279357,46.83036405,-0.158785137,0.488956454,-0.3247429,0.745375663,0.889462185
NM_001279358,346.5042064,0.711578684,0.260256137,2.734147567,0.006254201,0.063618893
NM_001279359,248.0454267,0.111401614,0.198884271,0.56013285,0.575388825,0.789021642
NM_001279360,117.9530131,-0.556667514,0.276208325,-2.015390066,0.043863794,0.199082113
NM_001280,10759.39377,0.231517841,0.094341934,2.454028973,0.01412656,0.102911453
NM_001280539,730.1386887,-0.093397581,0.211118155,-0.442394833,0.658203517,0.842739273
NM_001280541,10.65038477,-0.470738933,0.422459887,-1.114280781,0.265158749,0.539173001
NM_001280543,15.35608128,0.157537241,0.311663853,0.505471646,0.613227608,0.81420789
NM_001280546,30.87876406,-0.309206564,0.402924049,-0.767406572,0.442839822,0.697634226
NM_001280547,257.9446248,-0.050729133,0.253752918,-0.199915467,0.841546694,0.936486974
NM_001280548,314.3767869,0.16249324,0.242691744,0.669545809,0.503147369,0.740695204
NM_001280549,125.644313,-0.36926782,0.251526032,-1.468109749,0.142074414,0.386124923
NM_001280550,134.338499,-0.061880016,0.276532487,-0.223771233,0.822935315,0.928204784
NM_001280551,85.25055857,-0.107455279,0.295726668,-0.363360126,0.716335884,0.873801431
NM_001280552,203.3718773,0.160909468,0.253395613,0.635012842,0.525420039,0.755728283
NM_001280553,123.855923,0.224738881,0.270115873,0.832009163,0.405403773,0.668889391
NM_001280554,362.22918,-0.162610339,0.253493889,-0.641476366,0.521213231,0.753311234
NM_001280555,75.92678563,-0.587625239,0.371560579,-1.581505876,0.113762416,0.34084331
NM_001280556,309.4628462,-0.204175652,0.273980536,-0.745219551,0.456139006,0.707618377
NM_001280557,111.36036,-0.089475381,0.135930269,-0.658244711,0.510380899,0.745788725
NM_001280559,583.3083689,0.102568685,0.123782356,0.82862121,0.407318783,0.67028489
NM_001280560,69.32883028,0.281171963,0.370952356,0.757973251,0.448466996,0.702060418
NM_001280561,11.85415226,-0.797030645,0.400433197,-1.990421003,0.046544578,0.206007713
NM_001280787,689.5779635,-0.067158032,0.172893551,-0.388435726,0.69769361,0.86459316
NM_001280788,3653.145292,0.215610508,0.168085785,1.282740886,0.199582871,0.463970982
NM_001280790,16.64367061,0.073856403,0.337782434,0.21865081,0.82692207,0.930159593
NM_001280791,350.0515073,0.077287386,0.163420419,0.472935919,0.636258898,0.829253515
NM_001280792,893.1573438,0.192209963,0.139302005,1.379807585,0.167645897,0.420897432
NM_001280793,163.031673,0.084143415,0.331479813,0.253841749,0.799617819,0.917011396
NM_001280794,617.0835663,-0.132009817,0.086963699,-1.517987606,0.129017523,0.366266177
NM_001280795,23.8550815,-0.61054006,0.511417219,-1.193819915,0.23254842,0.502537629
NM_001280799,20.10697366,0.54902515,0.179137292,3.064828901,0.002177946,0.035517661
NM_001280801,59.59478472,-0.454631002,0.309447699,-1.469169115,0.141786925,0.385737608
NM_001281,1901.218019,0.186300266,0.069006421,2.699752626,0.006939105,0.06728319
NM_001281293,659.6213428,0.075887529,0.131398532,0.577537115,0.563576674,0.781714604
NM_001281294,817.7013207,0.184893416,0.211544905,0.87401498,0.382110096,0.649063749
NM_001281297,908.6252234,0.097351917,0.082359728,1.182033013,0.237192602,0.508034857
NM_001281300,207.8834625,-0.226017102,0.15578579,-1.450819758,0.146830056,0.39248444
NM_001281302,12.56184159,-0.419546768,0.349100369,-1.201794114,0.229443307,0.498785824
NM_001281303,64.23310627,-0.054811179,0.453704287,-0.120808158,0.903842988,0.962919123
NM_001281427,23.34963947,-0.663875333,0.398787528,-1.66473444,0.095965749,0.312469103
NM_001281429,797.7903186,-0.392921887,0.248528115,-1.580995727,0.113879015,0.341040963
NM_001281430,177.5179683,-0.115511956,0.245956412,-0.469644012,0.638609375,0.830742828
NM_001281432,115.1848979,0.203565195,0.166186147,1.224922768,0.220604321,0.488475953
NM_001281433,38.36668706,-0.081190983,0.474824815,-0.17099145,0.864230489,0.94658501
NM_001281435,356.7475258,-0.276597858,0.176893328,-1.563642118,0.117901638,0.34761386
NM_001281437,66.27957392,-0.262863326,0.275577517,-0.953863468,0.340152757,0.611928212
NM_001281438,270.3115482,0.390815263,0.143460252,2.724205888,0.006445631,0.064753974
NM_001281439,32.37406832,-0.747352181,0.377730963,-1.978530366,0.047868906,0.209306661
NM_001281440,156.6462272,-0.147380939,0.373254025,-0.394854252,0.692950454,0.861909736
NM_001281441,15.28189347,-0.051709869,0.422762768,-0.122314152,0.902650225,0.96242658
NM_001281444,22.99077251,-0.194890112,0.301927804,-0.645485808,0.518612413,0.751530635
NM_001281445,323.1977657,0.006574231,0.20050435,0.032788471,0.973843272,0.990192875
NM_001281447,167.2609577,0.28051818,0.111409857,2.517893716,0.011805894,0.091837966
NM_001281453,390.6906147,0.044609072,0.120768448,0.369376875,0.711846832,0.871084345
NM_001281454,1589.210435,0.034898578,0.061947914,0.563353554,0.573194158,0.787598328
NM_001281455,2.426211273,0.569525257,0.34814776,1.635872245,0.101866328,0.322521524
NM_001281457,228.7191693,-0.571937893,0.204195969,-2.800926455,0.005095613,0.056636298
NM_001281458,101.6286126,-0.016170211,0.446601834,-0.036207221,0.971117128,0.988845737
NM_001281459,42.36431747,-1.204592944,0.265876138,-4.530654582,5.88E-06,0.002636177
NM_001281460,58.23148656,-0.569233693,0.27912258,-2.039368129,0.041413301,0.192274451
NM_001281463,726.9775496,-0.10257772,0.151433294,-0.677378912,0.498165575,0.737662103
NM_001281467,30.48335677,-0.229553536,0.442898159,-0.51829869,0.604249886,0.808150929
NM_001281469,53.70095266,0.292690669,0.403309565,0.725722112,0.468009143,0.716786627
NM_001281471,344.3283676,-0.127801008,0.163388568,-0.782190635,0.434102547,0.691018819
NM_001281476,99.12694191,-0.572708285,0.282864031,-2.024676957,0.042900546,0.196151618
NM_001281482,197.1858786,-0.887105823,0.274224892,-3.234957329,0.001216609,0.025880254
NM_001281484,114.3433378,-0.387502102,0.320070745,-1.210676414,0.226019445,0.49537694
NM_001281492,88.81198216,-0.244885311,0.45383193,-0.539594717,0.589476561,0.798707489
NM_001281493,58.69755661,-0.203359945,0.350652371,-0.579947442,0.561950062,0.780530632
NM_001281494,276.223832,0.103348975,0.271835786,0.380188997,0.703805126,0.866886814
NM_001281495,6.708498318,-0.504985458,0.386510928,-1.306523106,0.191374727,0.453016588
NM_001281496,40.69051897,-0.238413877,0.372969667,-0.639231277,0.522672488,0.754293986
NM_001281501,182.5648885,-0.044304062,0.319347415,-0.138733116,0.889661048,0.957121098
NM_001281502,54.46093787,0.082403573,0.332190411,0.248061264,0.804087006,0.919150185
NM_001281504,217.9202548,-0.256244206,0.137562325,-1.862749899,0.062497462,0.244262679
NM_001281512,63.0671973,0.055261213,0.228543565,0.241797284,0.808937243,0.921721315
NM_001281513,121.1598767,-0.5903589,0.254390066,-2.32068378,0.020303917,0.127226844
NM_001281517,63.46389164,-0.470488482,0.374671421,-1.255736242,0.209211615,0.476248953
NM_001281520,122.0895639,0.133436504,0.215579138,0.618967612,0.535937695,0.763679202
NM_001281521,49.37534042,-0.234038746,0.246645858,-0.948885778,0.342678708,0.614244251
NM_001281522,36.6962406,0.152380142,0.393737188,0.387009778,0.698748969,0.864884928
NM_001281528,470.9708996,0.017139858,0.136276558,0.125772605,0.899911928,0.961572199
NM_001281529,45.42196997,0.368714692,0.218514918,1.687366223,0.091532954,0.304660639
NM_001281532,139.0919815,-0.027093037,0.154859475,-0.174952402,0.861117034,0.945291095
NM_001281533,134.100161,0.481798687,0.261630913,1.841520489,0.065545321,0.250651974
NM_001281534,387.3474169,0.120054352,0.196290214,0.611616594,0.540791456,0.766710484
NM_001281535,1650.193447,0.080981512,0.133146796,0.608212248,0.543046712,0.768396103
NM_001281710,114.2567873,0.16973082,0.243686964,0.696511693,0.486108437,0.729236446
NM_001281711,45.33692141,0.321649831,0.327292533,0.982759452,0.325725843,0.599681701
NM_001281712,20.06820703,-0.014066278,0.383908863,-0.036639628,0.970772346,0.988756545
NM_001281715,132.0595486,0.085371985,0.163656612,0.52165314,0.601911857,0.806239756
NM_001281717,55.49997867,0.079343525,0.229594396,0.34558128,0.729657417,0.881008603
NM_001281718,70.74629205,0.310652596,0.178675843,1.738637916,0.082098473,0.285561338
NM_001281719,264.8670452,0.093965438,0.213310566,0.440510006,0.659567767,0.843657144
NM_001281720,2864.048065,0.409483544,0.156872712,2.610291732,0.009046504,0.078543014
NM_001281723,32.28592283,-0.176161713,0.275344155,-0.639787372,0.522310844,0.754120484
NM_001281724,6.556490589,-1.390194,0.46156732,-3.011898678,0.002596192,0.039145466
NM_001281725,41.07950411,-0.434129229,0.440400579,-0.985759895,0.32425095,0.598735645
NM_001281726,86.83259029,0.18306705,0.146444878,1.250074789,0.211272228,0.47878362
NM_001281727,103.6035791,-0.052055554,0.189370716,-0.274887031,0.783403031,0.909147037
NM_001281728,41.78111316,0.150252565,0.316328415,0.474989151,0.634794706,0.82841089
NM_001281729,28.35688755,-0.756878037,0.248615597,-3.044370698,0.002331676,0.03670931
NM_001281731,327.5051401,-0.283250441,0.12623133,-2.243899686,0.024838856,0.143096469
NM_001281732,60.11088284,-0.924952758,0.334675367,-2.763731211,0.005714459,0.060151377
NM_001281733,50.20749001,-0.474594998,0.519484848,-0.913587759,0.360933501,0.630712785
NM_001281734,153.4311099,0.02798944,0.272094361,0.102866666,0.918068794,0.969055074
NM_001281736,150.6919946,-0.10038021,0.269799962,-0.372054202,0.709852494,0.869967328
NM_001281738,198.5031309,-0.114148878,0.262400194,-0.43501827,0.663549166,0.845631904
NM_001281748,54.83687129,-0.093971372,0.258438883,-0.363611586,0.716148074,0.873751172
NM_001281749,1755.606129,0.069091219,0.047981528,1.439954544,0.14988026,0.396427499
NM_001281771,255.0988632,-0.268772496,0.217342666,-1.236630159,0.216224418,0.484170803
NM_001281772,12.06138364,-0.691294828,0.369900596,-1.868866488,0.061641392,0.242065634
NM_001281773,38.70224656,-0.264313032,0.25916201,-1.019875682,0.307787424,0.583944887
NM_001281774,53.8534365,-0.154150707,0.221304479,-0.696554846,0.486081422,0.729227546
NM_001281775,88.93739785,-0.178570045,0.201966101,-0.8841585,0.376610657,0.644689005
NM_001281776,324.319995,-0.150991923,0.174395544,-0.865801494,0.38659903,0.652901413
NM_001281777,157.5875251,-0.113289438,0.208370672,-0.543691859,0.586653536,0.797040596
NM_001281778,69.11897323,-0.178650817,0.231239835,-0.772578032,0.43977215,0.695088736
NM_001281779,23.34429128,-0.244233525,0.295016119,-0.827865018,0.407746948,0.670735682
NM_001281780,15.84289548,-0.109614854,0.310939915,-0.352527445,0.72444274,0.878411658
NM_001281781,46.70134524,-0.252095819,0.334977366,-0.75257568,0.451704936,0.704419389
NM_001281782,42.9627201,0.193300111,0.313720099,0.616154693,0.537792427,0.764936084
NM_001281783,56.37566612,-0.13767787,0.18921516,-0.727626001,0.46684256,0.715930561
NM_001281784,31.55530601,-0.487982407,0.323520832,-1.508349257,0.131465163,0.369875428
NM_001281786,22.27951881,-0.057759342,0.445149938,-0.129752555,0.896762201,0.960521152
NM_001281789,622.0763386,0.089126263,0.131993894,0.675230194,0.499529526,0.738543568
NM_001281805,27.25670936,-0.769278645,0.22901348,-3.359097656,0.000781974,0.020902402
NM_001281806,30.14521967,-0.589410744,0.237922043,-2.477327183,0.01323705,0.09913957
NM_001281932,127.4450932,0.121636565,0.273625203,0.444537141,0.656654283,0.841815166
NM_001281933,162.479724,-0.059927157,0.234868313,-0.255152157,0.798605581,0.916397454
NM_001281971,42.14013366,0.509361771,0.400039511,1.273278655,0.202919178,0.468449006
NM_001281988,115.2521343,-0.283786603,0.255963099,-1.108701234,0.267559089,0.541648211
NM_001282011,129.5215632,-0.461749539,0.194918142,-2.368940795,0.017839109,0.118251617
NM_001282112,584.8206667,-0.196210268,0.095754138,-2.049104839,0.040451864,0.189836963
NM_001282113,91.50917453,-0.09386873,0.234455198,-0.400369581,0.688884325,0.859899673
NM_001282116,491.6489873,-0.282751819,0.101702651,-2.780181399,0.005432854,0.058359314
NM_001282129,2188.250304,0.061364098,0.092188794,0.665635113,0.505644357,0.742632273
NM_001282131,281.8011946,0.075156588,0.122283123,0.61461129,0.538811457,0.765378377
NM_001282142,969.5422271,0.063677589,0.143647554,0.443290453,0.65755566,0.842393257
NM_001282143,183.8506874,-0.142103418,0.138803435,-1.023774506,0.305941795,0.582381138
NM_001282144,108.5334647,-0.024870927,0.18860362,-0.131868769,0.895088091,0.959693279
NM_001282149,130.9631088,-0.407295613,0.387741707,-1.050430238,0.293520349,0.569081877
NM_001282150,33.43613988,-0.44430289,0.351701574,-1.263295143,0.206483131,0.472763952
NM_001282151,53.54599284,-0.173872095,0.269647983,-0.644811404,0.519049411,0.751785941
NM_001282161,154.0248729,-0.555278053,0.289798109,-1.916085841,0.05535417,0.22717672
NM_001282162,102.6753362,-0.242229301,0.218067827,-1.110797978,0.266655317,0.540490727
NM_001282163,115.6027887,-0.767676806,0.226681448,-3.386588587,0.000707674,0.020066555
NM_001282167,221.0850873,0.064506682,0.095236138,0.677334086,0.498194009,0.737672627
NM_001282168,235.4308274,-0.453502791,0.258284978,-1.755823337,0.079118578,0.279832323
NM_001282169,76.91997596,-0.014391876,0.299173194,-0.048105498,0.961632164,0.985888166
NM_001282174,75.29177683,-0.461630615,0.339414134,-1.360080706,0.173804386,0.428520914
NM_001282175,945.4119215,0.17204868,0.134171894,1.28230045,0.19973727,0.464170414
NM_001282176,833.3558493,0.05389614,0.112822811,0.477706052,0.632859436,0.827193198
NM_001282179,332.7604439,0.230312025,0.177069779,1.30068511,0.193366261,0.455908417
NM_001282180,180.3494278,0.003803773,0.220658549,0.017238275,0.986246528,0.994672298
NM_001282181,267.5095736,0.278455944,0.22827849,1.21980807,0.222537641,0.490965332
NM_001282182,883.2363583,0.202930447,0.218905888,0.927021421,0.353915413,0.624474836
NM_001282185,702.6110853,-0.338296789,0.339366459,-0.996848039,0.318838276,0.59401132
NM_001282186,82.76359386,-0.173806511,0.293033681,-0.593128103,0.553095424,0.774786069
NM_001282190,31.03904855,-0.663948835,0.322012085,-2.061875516,0.039219589,0.18647793
NM_001282192,24.42651936,-0.151112188,0.39028204,-0.387187143,0.698617668,0.864884928
NM_001282195,13.70444008,-0.421053865,0.330827927,-1.272727696,0.203114686,0.468540508
NM_001282198,127.3935585,-0.154632745,0.160290313,-0.964704246,0.334692968,0.607359317
NM_001282201,24.25814673,-0.258883009,0.238424476,-1.085807187,0.277564306,0.552238814
NM_001282202,12.01060213,-0.049361775,0.363384067,-0.135839128,0.891948458,0.958055072
NM_001282203,14.94219526,-0.955257433,0.310812169,-3.073423523,0.002116179,0.035045403
NM_001282204,29.63370855,0.337062458,0.286819812,1.17517146,0.239926126,0.511396536
NM_001282205,66.14848667,-0.000653366,0.335666152,-0.001946475,0.998446939,0.999111299
NM_001282206,45.98421858,0.454935408,0.284508745,1.599020823,0.109815976,0.335125076
NM_001282207,463.2597241,0.110956654,0.193849318,0.572386092,0.567060436,0.783773997
NM_001282208,71.5988152,-0.205137538,0.222853373,-0.920504524,0.35730917,0.627630688
NM_001282209,14.79458171,-0.622193241,0.445446225,-1.396786426,0.162477805,0.414016808
NM_001282211,36.0855611,-0.176905033,0.334316105,-0.529154983,0.596697942,0.803206146
NM_001282224,157.2889431,0.076048102,0.230931374,0.329310393,0.741921089,0.887509945
NM_001282225,11977.82285,0.267039058,0.136231875,1.960180457,0.049974702,0.214383599
NM_001282226,1376.570621,-0.176602388,0.153785693,-1.14836682,0.250817165,0.523694007
NM_001282227,3408.930539,0.199453851,0.106772016,1.86803489,0.061757208,0.242367516
NM_001282228,1255.583858,0.057040609,0.100042301,0.570164901,0.568565859,0.784629675
NM_001282229,1569.737822,-0.340719529,0.177541445,-1.919098542,0.054971864,0.226305856
NM_001282231,25.87929111,-0.173189179,0.370162115,-0.467873864,0.639874795,0.831553549
NM_001282233,95.69015847,-0.208240997,0.235075006,-0.885849159,0.375698815,0.643892891
NM_001282234,48.59740301,-1.88080461,0.477281283,-3.940662831,8.13E-05,0.007570276
NM_001282236,60.22544433,-0.368665041,0.154278859,-2.389601817,0.016866648,0.11466434
NM_001282237,1190.995131,-0.209939704,0.126473683,-1.659947734,0.096924967,0.314526475
NM_001282238,1704.960788,-0.100677016,0.119110436,-0.845240934,0.397976332,0.662221741
NM_001282272,30.23373534,-0.588217933,0.441263881,-1.333029868,0.182522002,0.440285483
NM_001282279,15.80834422,0.218312419,0.438297305,0.498092087,0.618419138,0.818180063
NM_001282280,54.50686818,-0.018837966,0.247359247,-0.076156303,0.939294746,0.977607315
NM_001282281,32.63762518,-0.129763034,0.271190269,-0.478494434,0.632298335,0.826802023
NM_001282282,73.0203354,-0.234650703,0.191820418,-1.223283246,0.221222733,0.489127706
NM_001282283,228.7276725,-0.375022994,0.271277066,-1.382435307,0.166838082,0.419936138
NM_001282285,295.9081694,0.068738027,0.091828409,0.748548602,0.454129321,0.706205197
NM_001282286,127.3132743,-0.109651002,0.130258114,-0.841797861,0.39990111,0.663477527
NM_001282290,343.7849565,-0.563887358,0.208111565,-2.709543596,0.006737585,0.066339844
NM_001282291,68.96847474,-0.324060922,0.258437732,-1.253922637,0.209870126,0.476982574
NM_001282292,50.74561847,-0.511518839,0.356136019,-1.436301897,0.150916454,0.398294616
NM_001282293,26.23708481,-0.617853612,0.406946782,-1.518266366,0.128947263,0.366266177
NM_001282302,65.36493257,0.314556083,0.229701699,1.369411215,0.170870771,0.424771372
NM_001282305,2.606246157,-0.637753326,0.281985413,-2.261653605,0.023718813,0.139359611
NM_001282306,134.0635163,-0.405397213,0.23516366,-1.723893956,0.084726989,0.291199814
NM_001282307,106.2072328,-0.08509052,0.231846081,-0.367012973,0.713609341,0.872191996
NM_001282308,122.3878913,-0.578139048,0.314103952,-1.840597816,0.065680518,0.250947027
NM_001282310,16.03340129,-1.302368883,0.437211333,-2.978808611,0.002893715,0.041317641
NM_001282311,214.323354,-0.177436234,0.125385552,-1.415125043,0.157031837,0.40594725
NM_001282312,65.05992388,-0.634475322,0.353827647,-1.793176221,0.072944751,0.266767392
NM_001282313,15.11059399,-0.396867223,0.31592551,-1.256205055,0.209041634,0.476163391
NM_001282314,58.89634772,-0.271664002,0.266431425,-1.019639491,0.307899469,0.584070128
NM_001282321,103.0875319,0.149309993,0.139907368,1.067206076,0.285878789,0.561131622
NM_001282326,24.05465529,-0.883622342,0.353134498,-2.502226053,0.01234151,0.094505308
NM_001282332,48.4294876,-0.095336942,0.268845419,-0.354616203,0.722877136,0.877444768
NM_001282334,4387.880327,-0.629811457,0.15014499,-4.194688467,2.73E-05,0.00510883
NM_001282335,1503.712934,-0.229321412,0.21769287,-1.053417196,0.292149827,0.567590327
NM_001282338,38.05963937,-0.095713082,0.267348097,-0.358009214,0.720336418,0.875864463
NM_001282342,198.8967276,-0.113166178,0.203150239,-0.557056585,0.577488769,0.79027938
NM_001282349,1237.554777,-0.17278711,0.151226391,-1.142572466,0.253216143,0.526781351
NM_001282350,308.5247333,-0.29190885,0.20106412,-1.451819696,0.146551746,0.392216047
NM_001282351,274.2085705,-0.211256965,0.176537885,-1.196666453,0.231436588,0.501074119
NM_001282358,144.5183717,0.136050994,0.229008332,0.594087528,0.552453572,0.774420126
NM_001282359,311.8380545,0.055639098,0.162883557,0.341588183,0.732660831,0.882836612
NM_001282360,184.341564,-0.025122899,0.242825766,-0.103460596,0.917597421,0.968936246
NM_001282380,90.02375335,-0.287634026,0.183597455,-1.566655846,0.117195157,0.346579804
NM_001282382,23.11378373,-0.358509964,0.395475355,-0.906529217,0.364655808,0.634461058
NM_001282385,17.10972173,0.110823637,0.373536793,0.296687338,0.766705225,0.900083779
NM_001282386,57.51362344,-0.372506386,0.513578982,-0.725314701,0.468258989,0.716981415
NM_001282391,2354.596329,0.10078431,0.084372356,1.194518151,0.232275345,0.502220819
NM_001282394,2.735500798,0.012304166,0.305340094,0.040296596,0.967856667,0.987715261
NM_001282396,148.6769233,-0.397336031,0.213499176,-1.861065874,0.062734875,0.244830935
NM_001282397,55.54544712,-0.451035348,0.506794396,-0.889976983,0.373478245,0.642314987
NM_001282398,28.66636948,0.190617306,0.264167513,0.721577396,0.47055434,0.718753267
NM_001282399,233.999586,0.074223036,0.135163346,0.549135832,0.582912237,0.794418887
NM_001282400,160.9189501,-0.177270966,0.229827684,-0.771321202,0.440516568,0.695818229
NM_001282401,127.7657588,-0.556100078,0.262417515,-2.119142381,0.034078436,0.171760458
NM_001282402,24.99432172,-0.095072108,0.314453771,-0.302340493,0.762392513,0.897555077
NM_001282404,76.93758412,-0.206493974,0.308281906,-0.669821906,0.502971328,0.740695204
NM_001282405,76.79331444,-0.057991967,0.404772926,-0.14327037,0.886076656,0.955180076
NM_001282409,252.8319887,0.141605562,0.179966003,0.786846184,0.431371914,0.689338098
NM_001282410,373.4460931,0.066003789,0.205372098,0.321386352,0.747917625,0.890615992
NM_001282411,114.4368704,0.165960966,0.295077,0.562432742,0.573821216,0.787834003
NM_001282412,951.4756259,0.098744941,0.132225686,0.746790913,0.455189782,0.706985153
NM_001282413,65.16244283,-0.433137932,0.397863081,-1.08866078,0.276303503,0.550680603
NM_001282414,987.6596381,0.155070737,0.07012471,2.21135655,0.027011156,0.15018307
NM_001282418,1131.925557,0.037998507,0.110986206,0.342371441,0.732071378,0.88268123
NM_001282425,3424.457411,0.319342136,0.199658679,1.599440291,0.109722806,0.335117186
NM_001282426,1727.897397,0.468370861,0.104720017,4.472601066,7.73E-06,0.002902254
NM_001282427,1306.239259,-0.082032147,0.111492235,-0.735765561,0.461873383,0.712407512
NM_001282431,2588.652094,-0.041852995,0.153711515,-0.272282757,0.785404614,0.910151842
NM_001282434,42.63697305,-0.101613755,0.248405632,-0.409063812,0.682492833,0.856069962
NM_001282436,72.63930886,-0.194904601,0.177780312,-1.09632275,0.272937557,0.547452047
NM_001282437,145.0781193,0.044151517,0.144950653,0.304596884,0.760673194,0.896832166
NM_001282438,97.71641661,-0.690437988,0.190152487,-3.630970062,0.000282358,0.012585669
NM_001282439,177.530856,-0.200947039,0.152957504,-1.31374423,0.188932291,0.449751781
