,baseMean,log2FoldChange,lfcSE,stat,pvalue,FDR
NM_000634,128.5219476,0.395063947,0.215560894,1.832725501,0.066843403,0.253513867
NM_000635,115.6837011,-0.190609157,0.191134093,-0.997253574,0.318641443,0.593867683
NM_000636,6495.076501,0.10935307,0.156843549,0.697211143,0.485670667,0.728923648
NM_000637,3346.225064,0.075404333,0.074832713,1.007638639,0.313627972,0.589633544
NM_000639,402.7602983,0.371325234,0.188158362,1.973471864,0.048441827,0.210523226
NM_000641,17.81484664,-0.520798155,0.305585806,-1.704261599,0.088332226,0.298366441
NM_000642,577.2914433,-0.051485492,0.121828899,-0.422604916,0.672583539,0.850587449
NM_000643,184.2625892,0.117487547,0.278860453,0.421313048,0.673526504,0.8511066
NM_000644,122.9557237,-0.11204073,0.330868058,-0.338626613,0.734891032,0.884236473
NM_000645,64.79257154,-0.593156223,0.377793808,-1.570052792,0.11640283,0.345305102
NM_000646,60.37681999,0.019376456,0.353754646,0.054773714,0.956318742,0.983421357
NM_000651,699.2187206,-0.036212717,0.256167878,-0.141363225,0.887583005,0.955809731
NM_000655,30446.11104,-0.026540727,0.105668065,-0.251170749,0.801682099,0.918078243
NM_000657,116.6737917,-0.204594091,0.234100745,-0.873957452,0.382141425,0.649063749
NM_000660,14786.86808,0.167172699,0.050376141,3.318489597,0.000905057,0.022410933
NM_000661,93988.71587,0.00145376,0.097540039,0.014904237,0.98810858,0.995244392
NM_000662,154.5738978,0.442012294,0.238357038,1.854412594,0.063680154,0.247015012
NM_000663,71.76756288,-0.35174725,0.337703091,-1.041587298,0.29760306,0.573566547
NM_000666,176.4572121,0.311644681,0.131182394,2.375659342,0.017517627,0.117099584
NM_000670,7.963639722,-0.565556478,0.375750053,-1.505140117,0.132288057,0.371296996
NM_000671,3776.741818,0.128033245,0.067112157,1.907750404,0.056423484,0.230017202
NM_000675,328.3834542,0.208135856,0.176173581,1.181424906,0.237433969,0.508237115
NM_000676,75.97138675,0.141807415,0.208310609,0.680749844,0.496029791,0.736059947
NM_000677,10.97304037,0.04904947,0.401370398,0.122205002,0.902736665,0.96242658
NM_000681,21.04666302,-0.21626747,0.282885944,-0.764504121,0.444566882,0.69900881
NM_000682,14.84447457,-0.331170145,0.361821522,-0.915285919,0.360041549,0.630109145
NM_000684,48.56314169,0.063655578,0.181571787,0.350580779,0.725902879,0.879202139
NM_000687,1711.724504,0.110968912,0.080160316,1.384337269,0.166255207,0.419109494
NM_000688,149.1906343,0.130099115,0.166251089,0.782545939,0.433893798,0.69087889
NM_000689,1619.048292,0.009782169,0.184163112,0.053116872,0.957638788,0.983907141
NM_000690,4415.822174,0.051770543,0.163561977,0.316519427,0.751608282,0.891955115
NM_000692,216.4255132,0.209580121,0.091182589,2.298466459,0.021535255,0.131488601
NM_000694,1078.594833,0.256019136,0.171972013,1.488725582,0.136559646,0.377876926
NM_000696,2727.785622,0.041365042,0.064958,0.636796724,0.524257261,0.755154747
NM_000697,215.1155187,-0.201852921,0.209044824,-0.96559636,0.334246197,0.606953051
NM_000698,3273.392922,-0.258266811,0.135630008,-1.904201101,0.056883998,0.231151389
NM_000700,24177.02508,0.059156307,0.082560141,0.716523804,0.473667974,0.720767701
NM_000701,8750.012661,0.282423005,0.101656578,2.778206897,0.00546598,0.058519679
NM_000702,16.29252203,-0.707691511,0.240989355,-2.936609013,0.003318222,0.044711325
NM_000706,54.47592739,-0.306595291,0.161865916,-1.894131252,0.058207591,0.234382113
NM_000709,1653.080584,0.142590291,0.060535679,2.35547521,0.018499031,0.120706092
