Mixture,alpha,beta,gamma,epsilon,delta,P-value,Correlation,RMSE
S_2_mock_5dpi_S70002,0.669801539998928,0.182774588930348,0.0531240582746288,0.0942998127960951,0,0,0.59170939152127,0.83725267529862
S_3_mock_5dpi_S69997,0.876171536723403,0,0.0454051685158761,0.0670987022638044,0.0113245924969168,0,0.19875742701323,0.983191512945062
S_2_SARS_5dpi_S70003,0.645694879061374,0.220057942087586,0.0501857725382833,0.0840614063127573,0,0,0.514480340077267,0.867213627467696
S_3_SARS_5dpi_S69996,0.811293720183919,0.0615205597526042,0.037183708770914,0.0731280214617105,0.0168739898308527,0,0.258023498385613,0.966845599115731
S_2_Rem_5dpi_S70001,0.58014475281982,0.276447937586995,0.0499954717239595,0.093411837869226,0,0,0.658044266482684,0.786011709438767
S_3_Rem_5dpi_S69995,0.81907477313153,0.0569308687837444,0.0539674760706544,0.0700268820140707,0,0,0.226533350661159,0.975819665455591
