,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK,Type,Stage,donor,healthy,LMR,MLR,model,P-value,Correlation,RMSE
lnc_36,0.0652706176704435,0.0,0.0476690924452111,0.3148965461057209,0.0847498279759176,0.487413915802707,serious,T,16,8,1.332624653205755,0.7503988445616739,RNAsieve,,,
lnc_40,0.0722574271273125,0.0,0.0473987845702987,0.3197037064560098,0.0770040501356047,0.4836360317107742,mild,T,5,6,1.5538950417139843,0.6435441089360678,RNAsieve,,,
lnc_44,0.0719967038170493,0.0,0.0069406433696281,0.3281377024368292,0.0675078261333559,0.5254171242431372,moderate,T,13,7,1.1693066079589567,0.8552076873537181,RNAsieve,,,
lnc_46,0.0774119619162587,0.0,0.0546992498187044,0.3141744526177742,0.0758741153181779,0.4778402203290844,mild,T,1,6,1.7411894844632465,0.5743200317501735,RNAsieve,,,
lnc_6,0.0431135671720356,0.0,0.0,0.3600431402302037,0.0803326779416061,0.5165106146561546,moderate,T,8,7,0.5366877872959108,1.863280707463975,RNAsieve,,,
lnc_8,0.02636297278907,0.0,0.0,0.3632669335467647,0.0954752048372263,0.5148948888269389,moderate,T,9,7,0.276123762541444,3.621564441958913,RNAsieve,,,
lnc_11,0.108256457564593,0.35103315588819,0.192894316878333,0.101025375673792,0.198359526654913,0.048431167340179,mild,T,2,6,3.287888115733022,0.30414660256073034,CIBERSORTx,0.0,0.327497923416125,0.964387046494017
lnc_14,0.214418326052017,0.197738227167912,0.183732518652454,0.0610080551253419,0.290792514435882,0.0523103585663929,serious,T,14,8,2.0491898597471394,0.48799773005093605,CIBERSORTx,0.0,0.439061395044597,0.932458909538604
lnc_16,0.335685967911916,0.226543913217782,0.158166486596856,0.140312781764509,0.0980372431526337,0.0412536073563035,moderate,T,10,7,7.348190795256986,0.1360879198517092,CIBERSORTx,0.0,0.503594881384106,0.864402418433938
lnc_19,0.070324353547647,0.321452679104013,0.18403000271487,0.0680692767524238,0.242754022621224,0.113369665259823,mild,T,3,6,2.3719773174056855,0.4215891917102036,CIBERSORTx,0.0,0.302715039692774,0.992115141393184
lnc_24,0.0,0.376386512511095,0.266475407335848,0.080813697224519,0.228582237848922,0.0477421450796164,serious,T,15,8,2.81238789985,0.35556972779371415,CIBERSORTx,0.0,0.342652038062883,0.963125507757873
lnc_30,0.318457550416622,0.12440059783746,0.17514048407636,0.0747823392213861,0.241616646028966,0.065602382419206,serious,T,18,8,2.5577651312002474,0.3909663118797556,CIBERSORTx,0.0,0.444640521416605,0.924706051731003
lnc_31,0.166584017652261,0.436785302311643,0.201098604096887,0.0769371251347495,0.0921090434197428,0.0264859073847161,moderate,T,11,7,8.73386471287965,0.11449685023461845,CIBERSORTx,0.0,0.321760144986816,0.951165535692374
lnc_35,0.0424336086877611,0.300056310864786,0.118348457508723,0.114534951962049,0.291327986069916,0.133298684906764,moderate,T,12,7,1.5818541269518582,0.6321695426663282,CIBERSORTx,0.0,0.382845665498349,0.961436770162852
lnc_36,0.0655659709782242,0.304321452248328,0.226552199746892,0.0899265422882404,0.226492481541981,0.0871413531963346,serious,T,16,8,2.633374931091885,0.37974083682241433,CIBERSORTx,0.0,0.359042971643564,0.953426570333237
lnc_40,0.0995071719935358,0.251527344531283,0.198927869866151,0.0823934657646584,0.339574061134976,0.0280700867093961,mild,T,5,6,1.6195653594765218,0.6174496102603858,CIBERSORTx,0.0,0.361854034646271,1.00320438786046
lnc_44,0.189570453962523,0.0615627770294459,0.11009189994255,0.0613264912123666,0.513867353681713,0.0635810241714014,moderate,T,13,7,0.7029540373531105,1.4225681152147311,CIBERSORTx,0.0,0.451622499216802,1.06313944654603
lnc_46,0.197063692032242,0.23354481306533,0.225842178666888,0.114156846262514,0.0749632307206521,0.154429239252373,mild,T,1,6,8.756968949359997,0.11419476371137355,CIBERSORTx,0.0,0.462320123828653,0.887467142987855
lnc_6,0.250567431033261,0.20957008008844,0.14508444383996,0.0776374586720043,0.192014646347052,0.125125940019283,moderate,T,8,7,3.1519572411563224,0.3172631871215174,CIBERSORTx,0.0,0.297425446882566,0.993398644377177
lnc_8,0.054044705518643,0.382522276340689,0.183198967722563,0.0928269850356955,0.218106936272875,0.0693001291095342,moderate,T,9,7,2.841569186990467,0.35191823045459947,CIBERSORTx,0.0,0.305981316391541,0.980193745661106
lnc_11,0.164457673439785,0.4698857553673821,0.0453290030154223,0.0515472735058364,0.137735789918157,0.131044504753417,mild,T,2,6,4.934610185387928,0.20265025248825935,DWLS,,,
lnc_14,0.3071262769111811,0.3826779901872061,0.0085888172245813,0.0390987329264914,0.132637689227196,0.129870493523344,serious,T,14,8,5.265419568088873,0.18991838866184754,DWLS,,,
lnc_16,0.2518009270628512,0.4279449319100954,0.0193397951078338,0.0509569650087772,0.1170888214239071,0.1328685594865351,moderate,T,10,7,5.970558466463833,0.16748851981216212,DWLS,,,
lnc_19,0.1301786369797019,0.4258683247768146,0.0659625719007194,0.0454657020012922,0.1395903260636329,0.1929344382778388,mild,T,3,6,4.455964472593108,0.22441830632865417,DWLS,,,
lnc_24,0.0640417715801265,0.516904156705448,0.0667960616162892,0.0555566003672004,0.131466898829266,0.16523451090167,serious,T,15,8,4.927034832875126,0.20296182875095672,DWLS,,,
lnc_25,0.248556800500774,0.485892878562553,0.0550050114973858,0.0467348973841704,0.0461137480596859,0.117696663995431,mild,T,4,6,17.119725109720136,0.058412152858238704,DWLS,,,
lnc_30,0.2441809892579019,0.3459923501390629,0.0596099854692457,0.0439930995013334,0.1510726993357589,0.1551508762966969,serious,T,18,8,4.3011300368842145,0.23249703948137568,DWLS,,,
lnc_31,0.147589628894829,0.5209291518698004,0.0567409920509352,0.0456021897801652,0.106544659111868,0.122593378292402,moderate,T,11,7,6.807096468853199,0.1469055131766733,DWLS,,,
lnc_35,0.104232028284026,0.454320448308572,0.0112228225278396,0.0459160679937405,0.186957380753784,0.197351252132038,moderate,T,12,7,3.0476213178810556,0.3281247555701173,DWLS,,,
lnc_36,0.113425007820474,0.4382266786158081,0.0570975764061404,0.0457141302194203,0.158883897142591,0.186652709795566,serious,T,16,8,3.831409436641009,0.2610005577677698,DWLS,,,
lnc_40,0.1271313620692839,0.4375013295216398,0.0644194616421441,0.0482157002019771,0.1844052983429399,0.1383268482220149,mild,T,5,6,3.411247718399147,0.29314786921111863,DWLS,,,
lnc_44,0.3037136939581399,0.2346064792432969,0.0388677236276477,0.0532562336341891,0.2079661641147399,0.1615897054219859,moderate,T,13,7,2.7753932919137565,0.3603092948713066,DWLS,,,
lnc_46,0.211613988628946,0.3353978215845931,0.0775488924826876,0.0469601221555642,0.110626230075168,0.217852945073041,mild,T,1,6,5.645683688867025,0.17712646600657855,DWLS,,,
lnc_6,0.2045198549070949,0.4007777181934588,0.0284270612334533,0.044103992834904,0.1254178597375379,0.1967535130935509,moderate,T,8,7,5.052905827449162,0.19790592465975682,DWLS,,,
lnc_8,0.132217962606835,0.4272687504981172,0.0779135876507999,0.0458505982982548,0.14596895953599,0.170780141410003,moderate,T,9,7,4.366683867460157,0.2290067315043901,DWLS,,,
