,alpha,beta,delta,epsilon,gamma
Bulk 0,0.006856148909734335,0.050015067350024436,0.39751973821329195,0.2690944526361914,0.27651459289075797
Bulk 1,0.0,0.032205337138629296,0.5107888610603456,0.3253517819117104,0.13165401988931477
Bulk 2,0.0,0.04284283096804217,0.4000219677458791,0.3864263172956993,0.1707088839903794
Bulk 3,0.047902084067149284,0.07718255747547817,0.5784508451275391,0.287824634052648,0.008639879277185574
Bulk 4,0.0,0.08496120423702813,0.4205955814894283,0.29397097206913764,0.20047224220440582
Bulk 5,0.0,0.09524793418745003,0.46468956913172293,0.2946486262366048,0.14541387044422227
