"S_2_mock_5dpi_S70002","S_3_mock_5dpi_S69997","S_2_SARS_5dpi_S70003","S_3_SARS_5dpi_S69996","S_2_Rem_5dpi_S70001","S_3_Rem_5dpi_S69995"
"alpha",0,0.543311895538641,0.480463688921697,0.0118277005876647,0.177977520553027,0.0340559447634297
"beta",0.327302180905889,0,0.397257330023472,0.0528824328277426,0.604257019268419,0.0366515391377896
"delta",0.188028916070234,0.456688104461359,0,0.734423403958887,0,0.244196074382155
"epsilon",0.10558262034493,0,0.031302380075541,0.200866462625706,0,0.0305490433996568
"gamma",0.379086282678947,0,0.0909766009792902,0,0.217765460178554,0.654547398316968
