,Astrocytes,Endothelial,Microglia,Neurons,Oligodendrocytes
212_120424,0.15661477,0.12973328,0.05214606,0.33618432,0.1010434
213_120425,0.1827225,0.11790106,0.077634744,0.30037057,0.10921233
214_120425,0.16106208,0.10563031,0.06392544,0.298015,0.10999231
215_120425,0.17276387,0.11921123,0.05311806,0.3436271,0.09606868
216_120425,0.19348803,0.11816652,0.054719366,0.2717206,0.10519582
218_120425,0.17031825,0.11156814,0.046810687,0.33292145,0.08550793
219_120425,0.17833984,0.119960055,0.06692195,0.2966113,0.10066542
220_120425,0.17830619,0.11380665,0.03728623,0.32999516,0.090446554
221_120425,0.18269156,0.11155379,0.06926871,0.31145635,0.092761084
222_120425,0.21052496,0.13675182,0.0669979,0.20097694,0.13628331
224_120425,0.16106984,0.136368,0.045329,0.3317433,0.09925848
227_120425,0.17490707,0.11749001,0.081374854,0.20418923,0.12765573
228_120425,0.16809374,0.13861284,0.062009707,0.28704393,0.12449267
229_120425,0.15880093,0.122681305,0.06349015,0.28278774,0.09912227
231_120425,0.18916468,0.112632856,0.054104522,0.29213065,0.093856126
23_120411,0.18588667,0.124352746,0.06696591,0.29515356,0.09984052
232_120425,0.159383,0.12237996,0.056244247,0.33875307,0.08612808
234_120425,0.16127121,0.091536164,0.04459211,0.35783324,0.09227028
236_120425,0.19411735,0.10859527,0.055602908,0.24347353,0.122260764
237_120426,0.15625612,0.11907574,0.05289302,0.32940865,0.10383622
238_120426,0.20203173,0.10935202,0.049405284,0.26465532,0.11233672
240_120426,0.16509295,0.12411134,0.060217388,0.28541106,0.13248494
241_120426,0.17606184,0.12215533,0.05971253,0.3090556,0.10451087
24_120411,0.1602804,0.12572795,0.066229075,0.32316965,0.0897426
242_120426,0.17680411,0.11371638,0.053693518,0.32400548,0.08385965
243_120426,0.17817895,0.11602038,0.072037466,0.27713367,0.1277709
244_120426,0.19462161,0.14358261,0.08920332,0.21893197,0.12456684
245_120426,0.16416466,0.112729065,0.056004465,0.31785813,0.10025841
246_120426,0.16226803,0.16857499,0.10049449,0.15026988,0.14768612
248_120426,0.20595372,0.1087917,0.07766502,0.24660707,0.113799416
250_120426,0.1796842,0.109773815,0.072241664,0.27196246,0.1299307
251_120426,0.21498275,0.116644025,0.06725752,0.19624001,0.13872913
25_120411,0.16693363,0.1176828,0.05964583,0.32260147,0.089946985
252_120426,0.1922122,0.10100055,0.044283487,0.32784685,0.09773862
253_120426,0.15759885,0.11970278,0.07256946,0.299358,0.1166752
254_120426,0.21684048,0.106610164,0.08556104,0.22489801,0.12017596
255_120426,0.18886141,0.09814675,0.066668294,0.28656763,0.10925117
256_120426,0.17742285,0.16002187,0.08373358,0.16659687,0.13745084
257_120426,0.18262753,0.08991626,0.07515819,0.22887447,0.13439173
258_120426,0.17360513,0.12996605,0.056967817,0.30034545,0.10921916
259_120426,0.18694036,0.14287373,0.0717947,0.2317977,0.109028876
260_120426,0.18674114,0.13474673,0.073416844,0.27954566,0.10981279
26_120411,0.17320177,0.114081405,0.061711125,0.27428553,0.09489902
266_120430,0.16972856,0.111622564,0.077206984,0.26809353,0.11565474
267_120430,0.19271575,0.122683406,0.071015656,0.27645516,0.09405951
269_120430,0.18130486,0.15774062,0.08342548,0.19187538,0.113753915
270_120430,0.16698858,0.123665795,0.07737925,0.26363704,0.10525036
271_120430,0.12468868,0.119591914,0.06045275,0.33414516,0.11861833
272_120430,0.19590315,0.12234392,0.07825473,0.18202107,0.12710407
273_120430,0.19196674,0.119302765,0.07205954,0.23040448,0.12739688
274_120430,0.18787336,0.14069903,0.07645687,0.26628605,0.11023241
276_120430,0.1852032,0.10372445,0.052751213,0.3156392,0.105387494
277_120430,0.15914208,0.12419023,0.05469152,0.32100907,0.08973801
279_120430,0.19246408,0.103820704,0.088560365,0.25783837,0.11724305
280_120430,0.16710041,0.12686478,0.0781097,0.26789597,0.10648053
281_120430,0.18463099,0.11672463,0.06449889,0.2411273,0.1144618
28_120411,0.14613736,0.12829101,0.068788886,0.33020627,0.11248734
283_120430,0.14448415,0.12728898,0.053368308,0.32364696,0.09770727
284_120430,0.20513663,0.12468001,0.07617348,0.26031607,0.09799115
285_120430,0.16899976,0.10908662,0.057273157,0.29654098,0.10631492
286_120430,0.15251866,0.10491043,0.0537095,0.36498183,0.09262131
287_120430,0.17533314,0.107277595,0.05415813,0.30669588,0.084774904
288_120430,0.15844388,0.13771872,0.05754782,0.262865,0.15053716
289_120430,0.18105154,0.09985294,0.0595649,0.28469628,0.103473626
290_120430,0.2047714,0.12273924,0.07008373,0.275724,0.08116168
291_120430,0.18158028,0.11648818,0.06109426,0.32614875,0.09265267
29_120416,0.20039582,0.11552672,0.0677278,0.22528231,0.10693747
292_120430,0.18908213,0.12688357,0.06539674,0.22930925,0.13505602
294_120430,0.17299353,0.090864405,0.074942194,0.29211062,0.115670964
296_120430,0.17207,0.12406518,0.043799557,0.3179804,0.10236764
298_120430,0.1810045,0.11362535,0.07705997,0.24290356,0.12640896
299_120430,0.19833718,0.11070576,0.07609554,0.22269428,0.11808044
300_120430,0.14323685,0.1426855,0.07732295,0.29500592,0.11292517
30_120416,0.16971253,0.11213325,0.06579873,0.28982317,0.10270941
302_120430,0.20067571,0.118928306,0.06350288,0.23350625,0.12333365
303_120430,0.18856353,0.12801802,0.08078789,0.23542488,0.09404096
304_120430,0.19468996,0.10156755,0.05811424,0.3393714,0.091325365
305_120430,0.1624575,0.1404362,0.06225444,0.33220565,0.0879352
306_120430,0.15400992,0.111207485,0.060919248,0.30468607,0.13139373
307_120430,0.17586383,0.13435607,0.07362872,0.2557026,0.113854274
309_120430,0.1671539,0.13544431,0.08675709,0.2646594,0.110390544
310_120430,0.21877055,0.10399329,0.08067879,0.18348113,0.12797618
312_120430,0.23536222,0.11830032,0.053328898,0.20352511,0.13390595
314_120501,0.17828773,0.124434076,0.08233307,0.29611444,0.12588754
315_120501,0.15744124,0.11390983,0.059690326,0.27302235,0.108903855
316_120501,0.15183567,0.123209916,0.072078794,0.3422022,0.099857986
318_120501,0.20076868,0.13072503,0.07331762,0.23606706,0.11757566
321_120501,0.18206131,0.1204633,0.042654764,0.30761343,0.095448196
32_120416,0.16990706,0.11979784,0.059934467,0.33483514,0.08188191
322_120501,0.20597312,0.12168895,0.06521617,0.21382003,0.13313603
323_120501,0.17126612,0.11842412,0.054863375,0.29499316,0.1236644
325_120501,0.17431661,0.11078897,0.092929244,0.27585474,0.10996668
326_120501,0.14485162,0.12673733,0.06413707,0.3032133,0.1046471
327_120501,0.16233477,0.13526396,0.08596164,0.29484668,0.101994716
328_120501,0.15341528,0.114650905,0.059680305,0.34662983,0.08117567
329_120501,0.1901974,0.13736671,0.069573484,0.23979634,0.10195526
331_120501,0.16318494,0.12513997,0.07474649,0.291535,0.11284303
33_120416,0.16201763,0.11462712,0.058283027,0.29584736,0.10771533
332_120501,0.14103013,0.0951659,0.051938396,0.3818813,0.09277767
334_120501,0.18831089,0.13732848,0.074148506,0.27698633,0.08795965
335_120501,0.18181309,0.11328038,0.053160883,0.299713,0.095798016
336_120501,0.1876814,0.10528183,0.08695756,0.23427622,0.113177806
337_120501,0.15565363,0.13106576,0.064593956,0.33389705,0.09220811
339_120501,0.18095474,0.1337555,0.07314092,0.23316216,0.12314299
340_120501,0.12046912,0.13057968,0.08412033,0.33524013,0.13094626
34_120416,0.20415501,0.12335711,0.06673892,0.23192164,0.10974127
344_120501,0.20199625,0.11876616,0.081451915,0.21362641,0.1356427
345_120501,0.17501932,0.09595974,0.06014639,0.3046912,0.1062521
347_120501,0.16900921,0.12764995,0.05848884,0.31307843,0.10127076
349_120501,0.16527092,0.12569599,0.0677911,0.2746868,0.11187565
350_120501,0.20625827,0.11637053,0.067006886,0.23031889,0.15350166
351_120501,0.17744872,0.14216089,0.07008219,0.23972683,0.11367228
35_120416,0.17475486,0.107110366,0.072559014,0.26708326,0.12138154
352_120501,0.17958467,0.13963069,0.08066851,0.18451464,0.14897645
353_120501,0.18224077,0.14566505,0.07481092,0.20539837,0.11223197
354_120501,0.15380147,0.124903485,0.064787105,0.30262887,0.115063965
355_120501,0.17524216,0.12367986,0.07389781,0.29611784,0.11489172
356_120501,0.15388083,0.116332166,0.048225846,0.3632064,0.07976618
358_120502,0.16964373,0.13336353,0.07658031,0.24484353,0.12048797
359_120502,0.1745519,0.107219025,0.07475956,0.31179413,0.085363045
360_120502,0.1987466,0.10631808,0.07174414,0.25244838,0.107428715
36_120416,0.14509976,0.12045652,0.06777668,0.28634593,0.10871496
363_120502,0.18971488,0.11302367,0.065509185,0.2728617,0.123565696
364_120502,0.20107673,0.1148993,0.05831225,0.22610943,0.1334409
366_120502,0.15443918,0.13083947,0.064458504,0.29994333,0.1143648
367_120502,0.21952364,0.09817823,0.07152923,0.23100081,0.10338104
368_120502,0.1730495,0.111989796,0.066765726,0.31451327,0.092992865
369_120502,0.16976202,0.10922478,0.06824646,0.3267666,0.07563864
370_120502,0.18985379,0.12411246,0.050489243,0.25772607,0.11608784
371_120502,0.17103189,0.12614956,0.06306195,0.29296535,0.09951791
37_120416,0.19415694,0.11487061,0.07747611,0.22719142,0.13792737
372_120502,0.20077774,0.09902452,0.06813015,0.24990515,0.13019943
375_120502,0.18955362,0.12861034,0.055736803,0.2639554,0.10013007
377_120503,0.15772706,0.100504845,0.030800432,0.40790337,0.086827084
378_120503,0.1600875,0.11151451,0.07224092,0.3038378,0.108390406
380_120503,0.18268868,0.11715814,0.090739414,0.26887378,0.11536187
381_120503,0.17024116,0.12205508,0.07674226,0.19505215,0.16204482
38_120416,0.18915181,0.12765917,0.07466421,0.2036731,0.11992276
383_120503,0.19481325,0.09730363,0.04437224,0.33968997,0.091700315
384_120503,0.15120958,0.10904374,0.056730032,0.33344135,0.112554274
385_120503,0.14209984,0.12342798,0.077006035,0.3043862,0.11743525
386_120503,0.15876469,0.13680176,0.068751544,0.28364247,0.111615956
388_120503,0.15760861,0.12213591,0.0541792,0.32802594,0.107174486
389_120503,0.15468496,0.106142364,0.071737394,0.3195629,0.09879445
390_120503,0.14556295,0.11660242,0.054369193,0.33766386,0.111485764
391_120503,0.175158,0.102327764,0.07175231,0.27582932,0.13407984
39_120416,0.1719118,0.10796796,0.051442232,0.34748274,0.08471899
392_120503,0.15621345,0.12723139,0.0643551,0.3074004,0.11749726
393_120503,0.19386356,0.12600863,0.08524173,0.2703497,0.11323711
394_120503,0.20223308,0.085015856,0.06373601,0.21189761,0.13311562
396_120503,0.16452631,0.11594725,0.052589692,0.34874105,0.10773824
397_120503,0.19008164,0.10917777,0.06289327,0.27088436,0.10457833
398_120503,0.22117281,0.12690122,0.06471349,0.24775067,0.12501743
399_120503,0.15841942,0.11703202,0.057263024,0.3124098,0.11228919
40_120416,0.16327015,0.11367524,0.058977067,0.28185987,0.10784024
402_120503,0.17462139,0.13868225,0.06634368,0.22630584,0.15062332
403_120503,0.16886288,0.10842268,0.064359546,0.32226402,0.124503635
405_120503,0.16487396,0.1166737,0.05177947,0.33442897,0.09987955
406_120503,0.18319762,0.14113383,0.06931987,0.25802314,0.11450039
407_120503,0.19234875,0.12541313,0.0500627,0.23458967,0.1228201
408_120503,0.17022339,0.13004254,0.06921528,0.2790308,0.102445826
410_120503,0.17362928,0.12659946,0.05726382,0.2368069,0.1334112
411_120503,0.18265936,0.12391986,0.057509627,0.292165,0.10703774
412_120503,0.19215214,0.15337801,0.0719592,0.2334191,0.0971818
413_120503,0.15184699,0.10739952,0.058032077,0.29704648,0.10497475
414_120503,0.17051837,0.109649435,0.07142811,0.2904139,0.11360221
415_120503,0.17082773,0.13104688,0.05457301,0.33314645,0.08027612
416_120503,0.20300457,0.117759705,0.05121943,0.32660547,0.08983513
418_120507,0.18238977,0.12088019,0.05935981,0.28201485,0.11549765
419_120507,0.17158195,0.109306715,0.063152455,0.24335115,0.1549622
420_120507,0.2032364,0.11790025,0.0688281,0.2286931,0.1380984
423_120507,0.19546144,0.12346451,0.069088444,0.27928242,0.10042327
424_120507,0.17798382,0.1352844,0.05409495,0.20755398,0.13695054
425_120507,0.17657928,0.12430553,0.050707262,0.26882157,0.13850378
426_120507,0.16076785,0.10259332,0.043201357,0.35383043,0.09072302
427_120507,0.15861234,0.13048115,0.08460321,0.21248023,0.15861928
428_120507,0.17989695,0.13300388,0.071283296,0.19929597,0.1432266
429_120507,0.14807846,0.10926348,0.06399502,0.33252883,0.08617598
430_120507,0.13864389,0.13068166,0.0785084,0.35624444,0.11011769
431_120507,0.15743953,0.10675099,0.058290463,0.32125282,0.11738913
433_120507,0.17409039,0.11921251,0.07409443,0.28699553,0.12038028
434_120507,0.16689782,0.10743193,0.04514563,0.3419239,0.109834254
435_120507,0.1720951,0.13256261,0.062221687,0.21949017,0.14190638
