,Astrocytes,Endothelial,Microglia,Neurons,Oligodendrocytes
576_120521,0.22966406,0.114360675,0.09798597,0.2294293,0.13831249
577_120521,0.16791499,0.11585431,0.051473692,0.3244132,0.091503724
578_120521,0.17449224,0.11893147,0.051004943,0.31611314,0.09756395
580_120521,0.166437,0.1094989,0.05985571,0.32060093,0.13012385
581_120521,0.19482732,0.15478793,0.062525146,0.17726183,0.14524299
58_120417,0.17382686,0.12189208,0.04817056,0.3330478,0.07969871
582_120521,0.17991869,0.15738676,0.09071498,0.18246076,0.13778259
583_120522,0.18151836,0.118335925,0.058142193,0.35524607,0.10176765
584_120522,0.15064232,0.12325778,0.06293499,0.353353,0.08549576
586_120522,0.13928363,0.14648724,0.07498752,0.29137832,0.13151997
587_120522,0.17832677,0.112513945,0.0827925,0.28542334,0.106416725
588_120522,0.21386252,0.12109274,0.06591956,0.2867367,0.09188473
589_120522,0.19340181,0.12911692,0.05501566,0.2656601,0.1082057
590_120522,0.18353991,0.10742667,0.06458591,0.3005425,0.11112018
591_120522,0.17438194,0.13075686,0.05608464,0.30826837,0.09641665
593_120522,0.18364036,0.116891414,0.04768651,0.29828075,0.11918281
594_120522,0.18382701,0.14135963,0.07388683,0.20089124,0.117964625
595_120522,0.15463445,0.12314981,0.0620012,0.28226805,0.15560082
596_120522,0.13631901,0.10619372,0.057874754,0.3635838,0.09701429
599_120523,0.20344496,0.110507786,0.08226894,0.28487355,0.09593378
600_120523,0.16987197,0.114638254,0.050116397,0.3206334,0.08973944
60_120417,0.20540485,0.11448421,0.06660029,0.21002221,0.11596279
602_120523,0.1923875,0.11787572,0.06211719,0.31316352,0.08510178
603_120523,0.1577394,0.10342102,0.0450349,0.3674141,0.08513619
604_120523,0.1590805,0.09693008,0.06284234,0.3460722,0.124035686
605_120523,0.16253036,0.11818038,0.07135762,0.31987232,0.114355
606_120523,0.17960307,0.116883,0.066342704,0.22600608,0.13711004
607_120523,0.16715726,0.12553182,0.06595308,0.27142462,0.11925772
608_120523,0.1993141,0.13258708,0.06669922,0.2250013,0.112610385
610_120523,0.20176265,0.10118329,0.06403972,0.2904551,0.11595565
613_120523,0.17568384,0.12902336,0.08603339,0.22140893,0.14249267
614_120523,0.16355425,0.11932431,0.04720567,0.33067042,0.13032034
616_120524,0.1606555,0.13363719,0.0683198,0.2883474,0.11975974
617_120524,0.19710985,0.11004471,0.0760089,0.21349037,0.13903204
618_120524,0.1355906,0.12183156,0.06615758,0.33457017,0.08810606
619_120524,0.18250129,0.10625979,0.073869,0.2250534,0.15617575
620_120524,0.19743192,0.13292909,0.06813043,0.24658053,0.091745585
624_120524,0.1959366,0.1310255,0.081788234,0.1939263,0.13262942
625_120524,0.15953684,0.11329287,0.058181457,0.30743927,0.107157335
626_120524,0.19537239,0.11562237,0.060597025,0.30387443,0.10111507
628_120524,0.16109177,0.1375794,0.080930956,0.27243042,0.11106472
629_120524,0.1786267,0.1086685,0.06673322,0.2929381,0.1426086
630_120524,0.17260024,0.123314634,0.07114604,0.2215312,0.14952946
631_120524,0.16175115,0.115449965,0.05117107,0.34553894,0.091221094
632_120524,0.20255098,0.10106538,0.070261486,0.26624203,0.117009565
633_120524,0.20205772,0.13601172,0.06440368,0.2588991,0.10957273
634_120524,0.15109196,0.12975734,0.06526752,0.31291735,0.10607465
635_120524,0.17425673,0.13205916,0.07965031,0.17929332,0.15485096
636_120524,0.18235533,0.1249639,0.06658973,0.2851467,0.10631007
637_120524,0.15498023,0.09944114,0.053404897,0.34401006,0.12032386
638_120524,0.20099112,0.11530185,0.068500414,0.25667316,0.1145288
641_120524,0.18527637,0.113819465,0.07492404,0.26870525,0.11081167
64_120417,0.16392563,0.11595865,0.052544273,0.32513928,0.09837826
643_120524,0.16560262,0.115545556,0.06669363,0.26357695,0.12528256
644_120524,0.19474833,0.110406026,0.08094158,0.23353684,0.124800324
646_120524,0.19055222,0.13649851,0.06770883,0.2840688,0.099317305
647_120529,0.18978298,0.11489435,0.035370387,0.33578956,0.088714145
648_120529,0.19149797,0.122563265,0.07021114,0.27196747,0.10038885
649_120529,0.22884354,0.10752675,0.083271384,0.2180625,0.12695897
65_120417,0.17053382,0.114863746,0.06040044,0.33325407,0.07790892
653_120529,0.1585323,0.114660755,0.09175547,0.2684867,0.1259911
654_120529,0.19423954,0.15177879,0.07165455,0.18918817,0.15290338
656_120529,0.20236826,0.14057574,0.07168321,0.17275882,0.121911906
657_120529,0.13497227,0.11555424,0.06336554,0.33462352,0.12004324
660_120530,0.16726427,0.11471735,0.06141915,0.34153232,0.106159985
66_120417,0.15687752,0.12332244,0.0691466,0.28792694,0.10993385
662_120530,0.1498069,0.122014925,0.06691642,0.35113168,0.10432779
663_120530,0.18749398,0.12900758,0.05429644,0.27082095,0.106508814
664_120530,0.1674752,0.11750623,0.0724431,0.2705439,0.12082462
665_120530,0.21598136,0.113252684,0.07855993,0.19468021,0.1312933
666_120530,0.18257383,0.106125996,0.08196816,0.2810977,0.11595936
668_120530,0.2094144,0.12374848,0.06928599,0.21857482,0.12395611
669_120530,0.21963999,0.10995799,0.051654197,0.2525326,0.11563644
670_120530,0.1895142,0.12488431,0.064577125,0.21144132,0.123853445
671_120530,0.18361883,0.118530616,0.06893727,0.2741521,0.10025351
672_120530,0.17772838,0.10740596,0.04717981,0.30607507,0.11494295
673_120530,0.19596007,0.10809176,0.04854725,0.28625762,0.12005556
674_120530,0.20358467,0.11463525,0.06412466,0.2538576,0.115919754
675_120604,0.16004367,0.14542641,0.058746543,0.2592267,0.11988191
676_120604,0.18402033,0.14585727,0.08711654,0.19857097,0.12389024
677_120604,0.19281173,0.10515003,0.07623778,0.2336229,0.11291392
678_120604,0.19995868,0.10059939,0.05877052,0.26170272,0.12638515
679_120604,0.18402466,0.12912649,0.07165916,0.26738384,0.13700756
680_120604,0.18424794,0.12276032,0.061693158,0.28504536,0.12785983
681_120604,0.13602269,0.10264993,0.043785926,0.38068268,0.090055935
68_120417,0.16095865,0.11573895,0.05981879,0.34573537,0.09113334
682_120604,0.19277894,0.124196604,0.059688993,0.25713062,0.12740797
683_120604,0.19076312,0.13310365,0.07870799,0.2304331,0.1406282
684_120604,0.18202762,0.10382446,0.059877764,0.32802218,0.106834605
685_120604,0.17690837,0.120649934,0.07349326,0.2672935,0.13369913
687_120604,0.18565261,0.10918083,0.071710296,0.18699786,0.16152519
688_120604,0.1758354,0.13092794,0.07055336,0.26067224,0.11579569
689_120604,0.196425,0.123624355,0.055967517,0.25282145,0.13584293
690_120604,0.18596461,0.13205753,0.07067676,0.23570949,0.114173934
691_120605,0.1774056,0.13408864,0.059736054,0.25092155,0.12201943
69_120417,0.17829816,0.11462778,0.07835003,0.22457421,0.116894476
693_120605,0.16179276,0.092548214,0.038611457,0.3665263,0.097871974
694_120605,0.19314103,0.12081771,0.07249973,0.23565154,0.14601785
695_120605,0.19904292,0.11137607,0.04066463,0.2888595,0.11914246
697_120605,0.16329488,0.12158915,0.07193515,0.264031,0.13116682
698_120605,0.17974727,0.12431099,0.054059234,0.30034408,0.092708245
699_120605,0.17308372,0.10385357,0.056787934,0.31960028,0.1153457
700_120605,0.20534393,0.096676394,0.058180004,0.32425576,0.09930613
701_120605,0.22607331,0.107746005,0.059822734,0.22839749,0.13158648
70_120417,0.18544015,0.11843777,0.07000208,0.23374021,0.11864047
702_120605,0.15924518,0.1243763,0.042826146,0.35038075,0.096452735
703_120605,0.16045767,0.1407635,0.067041084,0.27262068,0.110420346
704_120605,0.20034747,0.109582186,0.056705005,0.23731574,0.1571509
705_120605,0.17192161,0.10725616,0.06969907,0.2725128,0.11245559
706_120605,0.22713205,0.122760296,0.062209718,0.1658285,0.14165267
707_120531,0.17538016,0.12773709,0.06917058,0.26960042,0.14359374
708_120531,0.17891449,0.12112867,0.048806943,0.31105727,0.11063751
709_120531,0.17694357,0.13707659,0.07553081,0.19669291,0.14177914
710_120531,0.16377088,0.15799788,0.0642008,0.22353594,0.12929249
711_120531,0.18596134,0.12605147,0.052077062,0.2788272,0.11237566
713_120531,0.16851473,0.10816459,0.055079974,0.3330096,0.11749098
714_120531,0.21696964,0.14161092,0.084982395,0.15023535,0.15496749
715_120531,0.19696566,0.13300389,0.07856649,0.22727501,0.12752211
716_120531,0.22652243,0.15384945,0.064099625,0.14814314,0.13148785
718_120531,0.19509381,0.120215595,0.063946575,0.32459524,0.082588814
720_120531,0.17204937,0.15495497,0.07149382,0.20333424,0.15965468
721_120531,0.21621577,0.13416928,0.06842354,0.16160443,0.13995233
72_120417,0.16874981,0.10569537,0.06439176,0.2903164,0.112829685
722_120531,0.15861481,0.10644045,0.04417914,0.37990516,0.08437592
724_120605,0.21079127,0.14068876,0.078939036,0.18412834,0.12627326
73_120417,0.18419325,0.11418986,0.06786035,0.26332903,0.10542905
74_120417,0.16872495,0.10619184,0.061016046,0.33326572,0.094529115
75_120417,0.20040748,0.12149584,0.07065207,0.25862998,0.115903676
76_120417,0.1544835,0.12029004,0.07284757,0.28884292,0.12330973
763_130520,0.15809664,0.12221175,0.04918067,0.19315684,0.1603521
764_130520,0.16810839,0.13220415,0.04301993,0.21429668,0.12105822
767_130523,0.17432836,0.114576265,0.04245925,0.19276822,0.12879226
768_130523,0.14229622,0.13689898,0.068012536,0.31395197,0.10045235
769_130523,0.15995173,0.18418488,0.0755066,0.16315141,0.13235447
770_130523,0.14842765,0.12873714,0.03877312,0.31373,0.07782104
77_120417,0.17766175,0.11886867,0.092518374,0.24837151,0.11047298
775_130528,0.14663912,0.14135593,0.06430469,0.27416176,0.14601997
776_130528,0.14456043,0.11440973,0.06478311,0.31674552,0.11672562
777_130528,0.1619981,0.12415999,0.07137944,0.30282497,0.114904046
778_130528,0.18542068,0.11768983,0.08019849,0.199929,0.121889636
781_130528,0.14597535,0.12277797,0.054428782,0.27977014,0.1259325
78_120417,0.16076349,0.12393197,0.07480998,0.25472832,0.11470543
786_130530,0.13408314,0.13464127,0.07239358,0.32065588,0.07309975
787_130530,0.15986562,0.14158136,0.08193349,0.28917682,0.09834742
790_130530,0.14228761,0.13994502,0.040600996,0.30203012,0.09721305
791_130530,0.14694017,0.14127097,0.047908433,0.30892593,0.07741037
79_120417,0.13027117,0.12910907,0.044648506,0.38636607,0.094139
792_130530,0.16082484,0.1445154,0.05457539,0.18500432,0.11338233
793_130530,0.1513833,0.115878366,0.031248223,0.26916584,0.10675963
796_130701,0.13658862,0.12139319,0.057121105,0.29789954,0.10104283
797_130701,0.15777014,0.15041381,0.06650637,0.2551239,0.08218621
799_130701,0.20778275,0.1391359,0.051453024,0.16923267,0.13520434
800_130701,0.15095593,0.1252865,0.06736278,0.31912407,0.11554732
80_120417,0.1775086,0.10908546,0.07074405,0.28787407,0.08804268
803_130701,0.1682663,0.11982554,0.070246644,0.27643955,0.095950454
805_130701,0.13091002,0.14901823,0.068321556,0.305282,0.12328809
807_130701,0.17286307,0.15537608,0.052673668,0.2489311,0.10299363
809_130702,0.1432457,0.124405585,0.05333221,0.27080846,0.095836565
810_130702,0.18388437,0.1348401,0.087377034,0.2193383,0.15729071
811_130702,0.14783446,0.13216317,0.045993757,0.26219538,0.12286728
81_120417,0.18611205,0.12566565,0.060835466,0.28265637,0.09381454
812_130702,0.14885858,0.144726,0.09903042,0.2678389,0.11355899
813_130702,0.15002097,0.14503746,0.06384918,0.2989741,0.1183671
815_130702,0.13264449,0.13877669,0.048561946,0.32387638,0.10755943
820_130725,0.15069062,0.10110873,0.06373474,0.30666173,0.11324918
821_130725,0.19069903,0.109572336,0.06390989,0.26420784,0.11686191
82_120417,0.18591589,0.11110026,0.085195884,0.28863543,0.09396863
824_130725,0.14470696,0.13683979,0.059021927,0.26175365,0.10008012
826_130725,0.14959332,0.13272819,0.073332645,0.30798456,0.10462519
829_130725,0.15684825,0.1259616,0.06617211,0.31185472,0.093412206
831_130725,0.16912667,0.10467623,0.053217582,0.3013914,0.09902458
83_120417,0.16266385,0.112824485,0.054801345,0.3291552,0.105557874
833_130729,0.16744542,0.110503815,0.05264993,0.20127825,0.1433512
834_130729,0.16889945,0.1241276,0.07592556,0.26987106,0.11082071
84_120417,0.16556083,0.12201737,0.05601285,0.29724312,0.12878844
844_130830,0.17459607,0.117393956,0.056678396,0.21511444,0.13227168
845_130830,0.13655151,0.123979315,0.040889513,0.31082964,0.1103368
846_130830,0.14686024,0.14845291,0.055615257,0.2422627,0.096576035
847_130830,0.15255967,0.14873087,0.0633881,0.27081734,0.100948654
857_130905,0.14247179,0.13491873,0.057935532,0.27780262,0.12010914
861_130911,0.14668846,0.124739885,0.071240336,0.33307117,0.105235875
862_130911,0.15027326,0.15028954,0.07046747,0.2258294,0.16076358
864_130911,0.15130427,0.15467952,0.03964427,0.22984105,0.13829908
865_130911,0.17674103,0.13724008,0.039001897,0.24289235,0.08887103
871_130911,0.14046079,0.13641188,0.045064297,0.27621773,0.12111144
876_130918,0.1545088,0.12448841,0.050173186,0.31047246,0.09548035
879_130918,0.1536153,0.13473357,0.05896939,0.31544572,0.09269492
881_130918,0.14054835,0.11639264,0.029328322,0.31464678,0.120894894
88_120417,0.15947878,0.10516888,0.045945823,0.34609646,0.10816773
882_130918,0.1929072,0.13098437,0.053333413,0.23926692,0.097441696
884_130923,0.14598992,0.12271206,0.05917288,0.29314065,0.089141905
885_130923,0.14966264,0.14518741,0.0520088,0.29752725,0.07469982
887_130923,0.1745232,0.13418615,0.07313572,0.30154663,0.107434794
889_130923,0.14807022,0.14334717,0.087081306,0.30379295,0.093337774
89_120417,0.15372461,0.12154804,0.06852305,0.30906284,0.092138335
892_130923,0.1371596,0.14392906,0.06810732,0.33021593,0.07690132
893_130923,0.13593921,0.14580315,0.036899857,0.26470613,0.11874694
894_130923,0.14780709,0.12615436,0.06712812,0.2980565,0.13098624
895_130923,0.18586974,0.13186929,0.0839874,0.21311586,0.13904527
899_131010,0.15626174,0.1429778,0.060716,0.24471591,0.12187778
900_131010,0.14493844,0.12017779,0.046317145,0.26830298,0.13786763
901_131010,0.14657491,0.1318901,0.07359519,0.27879542,0.12669693
90_120417,0.15994799,0.1355933,0.058822256,0.30641365,0.10384165
905_131010,0.18976973,0.12496582,0.047543213,0.25606164,0.12475765
909_131031,0.13954554,0.12956268,0.046014667,0.31720036,0.08045462
911_131031,0.16765377,0.12837128,0.043678056,0.23779836,0.13750781
922_131031,0.15337633,0.122227296,0.062952764,0.2896881,0.09307161
923_131031,0.15024948,0.12698999,0.047677543,0.2461205,0.12709129
924_131031,0.14710057,0.11516442,0.06515769,0.32877964,0.098753095
925_131031,0.15556875,0.11850816,0.068442605,0.30884302,0.089811295
926_131031,0.16428769,0.12454225,0.054791447,0.2904676,0.10380852
927_131031,0.15682879,0.12255844,0.040655583,0.30193684,0.07910114
929_131031,0.18651603,0.15787594,0.074463084,0.20260136,0.109967515
93_120417,0.19910656,0.099317096,0.059874408,0.30322784,0.09648505
932_131101,0.13686842,0.13727845,0.04369633,0.27530828,0.12875292
934_131101,0.15270393,0.12953594,0.04969032,0.25658953,0.12263852
935_131101,0.15890259,0.13436334,0.05815848,0.26843,0.12915906
936_131101,0.15970777,0.12444397,0.07583821,0.26477107,0.14618328
937_131101,0.15134174,0.11919492,0.088480905,0.31720066,0.09423503
938_131101,0.14677653,0.14502686,0.07620329,0.30624884,0.09820827
939_131101,0.13951991,0.10849982,0.063638695,0.31192058,0.121295825
940_131101,0.15271197,0.10908575,0.037990354,0.29672456,0.1246539
941_131101,0.15838444,0.13334732,0.064709745,0.28517726,0.124151155
94_120417,0.17795835,0.11989103,0.061821938,0.28569064,0.09399136
942_131101,0.16729073,0.11597743,0.06916677,0.25977692,0.13321485
943_131101,0.15614665,0.12079525,0.044945013,0.2710548,0.110386394
944_131107,0.15760577,0.12516522,0.07652652,0.26845095,0.14752702
945_131107,0.1494507,0.15080944,0.056040034,0.25241262,0.107171714
946_131107,0.15301415,0.11499398,0.06443025,0.2907377,0.14605397
949_131107,0.19451356,0.122299835,0.04210397,0.24623601,0.095404774
950_131107,0.15404141,0.13857374,0.07551282,0.30718762,0.11438055
951_131107,0.13264686,0.1346941,0.059358023,0.3147732,0.11327269
952_131107,0.15662503,0.1280174,0.07186171,0.3011102,0.11251744
954_131107,0.17972946,0.1395471,0.043629926,0.20293981,0.1257995
956_131107,0.18525688,0.14188585,0.06318447,0.23102319,0.089731805
957_131107,0.14705387,0.12965414,0.07081091,0.31392795,0.10155999
958_131107,0.15883078,0.11835533,0.040014394,0.2674146,0.120342016
96_120417,0.20305726,0.09553548,0.07602834,0.2049652,0.14281924
97_120417,0.17906743,0.108122736,0.064529665,0.2551074,0.116201125
98_120417,0.16218792,0.112049125,0.07699026,0.2961685,0.10944294
R24_131017,0.1468477,0.1295427,0.03998942,0.2790221,0.122338995
redo4_140501,0.1519075,0.13087419,0.04315745,0.3178284,0.10068701
