"alpha","beta","gamma","epsilon","delta"
"S_2_mock_5dpi_S70002",0.509557737740502,0.124241921337871,0.0373086312936706,0.324344734566423,0.00454697506153366
"S_3_mock_5dpi_S69997",0.696891859050728,0.0218915778485925,0.023114519098454,0.25634336077324,0.00175868322898496
"S_2_SARS_5dpi_S70003",0.679632595572374,0.129853479922239,0.0351938644490567,0.153994600339965,0.00132545971636489
"S_3_SARS_5dpi_S69996",0.253300341553543,0.0529467932704792,0.022669101500434,0.67000431242841,0.00107945124713352
"S_2_Rem_5dpi_S70001",0.56457663677389,0.157813744554206,0.0424284367036076,0.232119285231537,0.00306189673675962
"S_3_Rem_5dpi_S69995",0.629100865822316,0.0638099386671228,0.0380342413898932,0.267039227043858,0.00201572707680995
