	Astrocytes	Endothelial	Ependymal	Microglia	NFO	Neurons	OPC	Oligodendrocytes	Tanycytes	Unknown
0	0.09989530786371163	0.13416222158943103	0.048347963647086316	0.10923841974716103	0.12125059141832102	0.19945056084386106	0.12172139863416302	0.07992871723890412	7.915159459172811e-20	0.08600481901736091
1	0.09415885471455263	0.11516377419274404	0.10567604434386205	0.06431321746849443	0.11888104844773505	0.2860775010549571	0.14190687106483807	0.05513881378215852	1.1945591212450506e-07	0.018683755474746006
2	0.130947481520376	0.102633697862935	0.0944178766065571	0.0479003605682665	0.0850634624526504	0.333034769997896	0.127488348960479	0.0270774617910536	9.77078983783621e-22	0.0514365402397865
3	0.11376834797091206	0.09247540546615605	0.08767016155002276	0.07126460846143914	0.12107971949018206	0.3114945584295822	0.13698756836636508	0.021699770813913912	6.388238787383224e-23	0.04355985945142682
4	0.142347393397275	0.0957370660639966	0.0732887615767368	0.0487008423060794	0.120196480610084	0.273556461031703	0.143295110176926	0.0843917815647292	-2.54548761342531e-19	0.0184861032724701
5	0.14572074184140507	0.11012256066261006	0.11502542790657606	0.03543717622839442	0.15679662621171908	0.23989456177094515	0.09251571772268725	0.024377617097224913	3.991383205320082e-07	0.08010917142011745
6	0.11006335761532093	0.12446636093678191	0.10389678077598694	0.04799619040099837	0.1489726636905119	0.20905097601617786	0.11536585084198492	0.07490034864616965	1.0006000124880494e-18	0.06528747107606736
7	0.13178843693609907	0.13305997955174007	0.09829842370991973	0.054474467220340224	0.11743167583511104	0.2416204020038231	0.09650779926524403	0.07191536578522033	1.1382096238474603e-18	0.05490344969250252
8	0.12500287125508913	0.11201733394848412	0.11229937197519613	0.06613767287259477	0.09946517295468121	0.24875982130636928	0.16089710993582115	0.03674024461420374	1.2076099179781313e-18	0.03868040113756054
9	0.051936936655034203	0.09483216764216501	0.058371744128438804	0.09341579324393182	0.11141455140203302	0.32152946220879103	0.15701199171031702	0.08751522951142181	-1.4184254849074303e-19	0.023972123497867405
10	0.13011590545542204	0.11891623866612401	0.10571028810402801	0.06988360771940971	0.11633513992326801	0.24662518637986602	0.11331137248067301	0.05508026074753881	9.978914974564152e-22	0.04402200052367021
11	0.14688192422497615	0.12767252473527113	0.08599620902395018	0.07121976165078257	0.08149563849372378	0.22591327588425822	0.14102959434444715	0.04580179723202405	8.428557128522388e-22	0.07398927441056677
12	0.10642386221547005	0.09765205569305846	0.10072045238721705	0.07254114247937624	0.11331337133167407	0.27374385371518717	0.13825277257566107	0.07152257176797185	3.1863913059493516e-07	0.025829599195253614
13	0.13529499021403005	0.08500862177140223	0.11539653544099104	0.05107678815828762	0.11337250088034304	0.3083266865427871	0.14433824647633406	0.032803821444892516	1.1156953378011104e-07	0.014381697501398505
