,Astrocytes,Endothelial,Microglia,Neurons,Oligodendrocytes
10101589,0.236416959636552,0.23255507053106,0.108653139056698,0.329411607207013,0.0929632235686784
10203224,0.13339692923248,0.152464972590876,0.0998593323180336,0.523510867224262,0.0907678986343486
10222853,0.167241733911354,0.18979936906965,0.074478062562088,0.435093149372131,0.133387685084778
10249336,0.142442102607469,0.158293232856948,0.081900169021887,0.484768307776498,0.132596187737198
10253148,0.187323571878821,0.145793529172061,0.081077264534768,0.465661510050413,0.120144124363937
10260309,0.113416260083963,0.144914893323132,0.0834512647168723,0.47616372371434,0.182053858161693
10288185,0.113596222459651,0.235672918852672,0.0825620601522011,0.47813307097817,0.0900357275573059
10290427,0.22653711143518,0.143960512582017,0.130202453345206,0.429138119056369,0.0701618035812283
10345561,0.213801952315265,0.136394094550658,0.086826005234139,0.477193213946283,0.0857847339536557
10383017,0.123239824527199,0.249611670174194,0.0654907836534403,0.449789082031775,0.111868639613392
10394182,0.119681390916351,0.169877002691023,0.0919131920241681,0.474479057894207,0.144049356474252
10395197,0.164677668012068,0.136421670988301,0.0922608565194436,0.458018907774535,0.148620896705652
10436131,0.147382421366896,0.214014137917644,0.0916397823758023,0.456891086946097,0.0900725713935612
10460587,0.179592616308502,0.137558086593041,0.061909255932434,0.513539863471384,0.107400177694638
10473384,0.167387465375609,0.204731588333727,0.099227013939738,0.418718644719451,0.109935287631476
10478041,0.152428905329375,0.167763620504078,0.0811917230427897,0.525448320824092,0.0731674302996651
10480383,0.193758443912483,0.133849298952589,0.0823335749287562,0.45244634196742,0.137612340238752
10490993,0.113836350010522,0.162325097853432,0.0692714019932258,0.540606540129128,0.113960610013692
10502798,0.130225273228585,0.157623975795022,0.121597188549103,0.424130200783289,0.166423361644002
10510090,0.235573201461289,0.15009709147726,0.118266754781252,0.404472951374055,0.0915900009061429
10516762,0.167601111797986,0.145664401181767,0.0469956824282104,0.465257256039284,0.174481548552753
10551157,0.105494496372137,0.194252174723889,0.0897593689092821,0.423546676884417,0.186947283110275
10557081,0.143096152524817,0.158881240778563,0.0623317138964034,0.468933945174231,0.166756947625985
10669174,0.154296372291336,0.172736670443227,0.0855043539448192,0.459698231669686,0.127764371650932
10684501,0.161419522375,0.176397812951725,0.0791370214855335,0.440452958712479,0.142592684475263
10850171,0.19747180293821,0.173389739696697,0.0798389404292664,0.44943938901283,0.0998601279229973
10885370,0.148984017085487,0.196541053955732,0.121171325143921,0.437683229532461,0.0956203742823989
10901987,0.138884917400525,0.177854197058284,0.121013696411487,0.374452468501334,0.18779472062837
10929637,0.16179704684652,0.144948773392053,0.0616573140548285,0.498068657506736,0.133528208199863
11157783,0.15176351465861,0.14065824243455,0.102950867157941,0.464318809959806,0.140308565789093
11200645,0.146156521759546,0.170142367803585,0.154455010118525,0.395720347511658,0.133525752806687
11259716,0.162142766722373,0.146729262412411,0.0653637216928896,0.453051997998128,0.172712251174199
11302830,0.152590650732816,0.174363466904574,0.112911978176038,0.426635654117874,0.133498250068698
11326252,0.121583594230444,0.166061873614081,0.0856490294090642,0.457335852369391,0.16936965037702
11327005,0.19012768975094,0.17047024060228,0.0610036025579197,0.504115406001416,0.0742830610874437
11336574,0.187552624806686,0.166977294592231,0.0635420232218233,0.465260953120733,0.116667104258526
11342432,0.191248421878242,0.15138121353646,0.0953940130312276,0.467345490627093,0.0946308609269775
11395417,0.101960582661532,0.150212172185572,0.0585166275151633,0.556896013274902,0.132414604362831
11430815,0.150323218165037,0.14125280399543,0.078809601042086,0.50666153121438,0.122952845583067
11440263,0.191677756642349,0.146669788735183,0.109788366555704,0.481434422922262,0.0704296651445017
11453772,0.167412068020616,0.171836081541455,0.0655221776387585,0.485129386501058,0.110100286298112
