,CellType,Method,DataType,Tissue,CCC,L1error
60,monocyte,CIBERSORTx,counts2umi,Marrow,0.7706918530946278,0.0629281000249551
61,macrophage,CIBERSORTx,counts2umi,Marrow,0.677602849989454,0.06627113135734636
62,basophil,CIBERSORTx,counts2umi,Marrow,0.2023803273027051,0.10961433081521407
63,hematopoietic precursor cell,CIBERSORTx,umi2counts,Marrow,0.7121110717987827,0.06231027702127724
64,granulocyte,CIBERSORTx,umi2counts,Marrow,0.6678953771818076,0.07072549591909408
65,immature B cell,CIBERSORTx,umi2counts,Marrow,0.2726239971572014,0.09668214935683014
66,late pro-B cell,CIBERSORTx,umi2counts,Marrow,0.7773750759784583,0.06583195293062499
67,monocyte,CIBERSORTx,umi2counts,Marrow,0.23090391268201643,0.2440419928230221
68,macrophage,CIBERSORTx,umi2counts,Marrow,0.7384021477956061,0.05556304350603213
69,basophil,CIBERSORTx,umi2counts,Marrow,0.12388680769958789,0.13898097332651146
70,lung endothelial cell,CIBERSORTx,counts2umi,Lung,0.1956804615411041,0.2720651557017597
71,stromal cell,CIBERSORTx,counts2umi,Lung,0.567332177824051,0.1375690269242812
72,classical monocyte,CIBERSORTx,counts2umi,Lung,0.41591723331469443,0.07130217645915674
73,myeloid cell,CIBERSORTx,counts2umi,Lung,0.23596990884334276,0.08505969943436442
74,B cell,CIBERSORTx,counts2umi,Lung,0.6093534651735037,0.06960945686972031
75,T cell,CIBERSORTx,counts2umi,Lung,0.396885214874608,0.061083444103128215
76,natural killer cell,CIBERSORTx,counts2umi,Lung,0.26339704555453436,0.06533754849987762
77,leukocyte,CIBERSORTx,counts2umi,Lung,0.12896248518525077,0.09608325979472507
78,ciliated columnar cell of tracheobronchial tree,CIBERSORTx,counts2umi,Lung,0.8546905449543305,0.030784924038766294
79,lung endothelial cell,CIBERSORTx,umi2counts,Lung,0.7501919519760237,0.06480169541681222
80,stromal cell,CIBERSORTx,umi2counts,Lung,0.2983494014724477,0.2328604764313733
81,classical monocyte,CIBERSORTx,umi2counts,Lung,0.2751312626867051,0.084075376257296
82,myeloid cell,CIBERSORTx,umi2counts,Lung,0.3301664773576119,0.06308803021777719
83,B cell,CIBERSORTx,umi2counts,Lung,0.0853768318550444,0.10873081270897372
84,T cell,CIBERSORTx,umi2counts,Lung,0.7125925724136424,0.05237206736216295
85,natural killer cell,CIBERSORTx,umi2counts,Lung,0.5934105421410799,0.10574772574573917
86,leukocyte,CIBERSORTx,umi2counts,Lung,0.1861373433816553,0.0827175314421944
87,ciliated columnar cell of tracheobronchial tree,CIBERSORTx,umi2counts,Lung,0.3770827399745673,0.07236666579792567
88,mesenchymal stem cell,Scaden,counts2umi,Limb_Muscle,0.7080824079814466,0.05472284832735594
89,skeletal muscle satellite cell,Scaden,counts2umi,Limb_Muscle,0.7422479307745715,0.060362112281272265
90,T cell,Scaden,counts2umi,Limb_Muscle,0.582253307693696,0.06856563809392123
91,macrophage,Scaden,counts2umi,Limb_Muscle,0.6697143228172591,0.0768430517354349
92,B cell,Scaden,counts2umi,Limb_Muscle,0.5480795134070697,0.07620151907341159
93,endothelial cell,Scaden,counts2umi,Limb_Muscle,0.7596602294392828,0.06381782736039773
94,mesenchymal stem cell,Scaden,umi2counts,Limb_Muscle,0.6347645647250764,0.1386734277782198
95,skeletal muscle satellite cell,Scaden,umi2counts,Limb_Muscle,0.858439365654486,0.05339544392281161
96,T cell,Scaden,umi2counts,Limb_Muscle,0.7567953888382877,0.06016694747010849
97,macrophage,Scaden,umi2counts,Limb_Muscle,0.579971659882278,0.07035209132087597
98,B cell,Scaden,umi2counts,Limb_Muscle,0.3367718536871822,0.1355377429671249
99,endothelial cell,Scaden,umi2counts,Limb_Muscle,0.8781304312381415,0.042736559529019294
100,immature B cell,Scaden,counts2umi,Marrow,0.5794823002700698,0.07322268296499769
101,macrophage,Scaden,counts2umi,Marrow,0.7006596281488645,0.05232230586978128
102,hematopoietic precursor cell,Scaden,counts2umi,Marrow,0.5717364978366629,0.05543170054839006
103,granulocyte,Scaden,counts2umi,Marrow,0.5518704824546491,0.08963265453863585
104,basophil,Scaden,counts2umi,Marrow,0.5407772056001973,0.076703475788986
105,monocyte,Scaden,counts2umi,Marrow,0.6824816628300941,0.06129081163999885
106,late pro-B cell,Scaden,counts2umi,Marrow,0.7299738842162337,0.056494876141318026
107,immature B cell,Scaden,umi2counts,Marrow,0.19122534170850822,0.09531979296838937
108,late pro-B cell,Scaden,umi2counts,Marrow,0.740122008963677,0.07430095639514211
109,granulocyte,Scaden,umi2counts,Marrow,0.6558329795628913,0.0708943121126526
110,macrophage,Scaden,umi2counts,Marrow,0.8304532054050229,0.053392107680142686
111,basophil,Scaden,umi2counts,Marrow,0.1496917360819045,0.12432259683902315
112,monocyte,Scaden,umi2counts,Marrow,0.8979531650922107,0.03911493114309285
113,hematopoietic precursor cell,Scaden,umi2counts,Marrow,0.3571228053191082,0.1872216995339907
114,leukocyte,Scaden,counts2umi,Lung,0.4315592836843499,0.059102521572032
115,ciliated columnar cell of tracheobronchial tree,Scaden,counts2umi,Lung,0.8834798201299737,0.030399395235354194
116,T cell,Scaden,counts2umi,Lung,0.39320167789965643,0.05895732025136895
117,lung endothelial cell,Scaden,counts2umi,Lung,0.6793243830446422,0.03823786885959366
118,natural killer cell,Scaden,counts2umi,Lung,0.41668868057375325,0.06059872670167466
119,classical monocyte,Scaden,counts2umi,Lung,0.4938025251184939,0.07309840189067476
120,B cell,Scaden,counts2umi,Lung,0.3870455665256932,0.06135618425380021
121,stromal cell,Scaden,counts2umi,Lung,0.43848658174385996,0.06358974789721994
122,myeloid cell,Scaden,counts2umi,Lung,0.47512688012955323,0.06319505828442136
123,stromal cell,Scaden,umi2counts,Lung,0.3827259247097866,0.19555775747276072
124,lung endothelial cell,Scaden,umi2counts,Lung,0.8207128229307046,0.037037282784768075
125,B cell,Scaden,umi2counts,Lung,0.3879671448536056,0.07092430510837078
126,classical monocyte,Scaden,umi2counts,Lung,0.5309454554640763,0.05552285097588609
127,natural killer cell,Scaden,umi2counts,Lung,0.5328765987054233,0.047316595649921835
128,leukocyte,Scaden,umi2counts,Lung,0.34535145499335823,0.06469797135889671
129,ciliated columnar cell of tracheobronchial tree,Scaden,umi2counts,Lung,0.18412954720182403,0.07035327274942219
130,myeloid cell,Scaden,umi2counts,Lung,0.27841811860698706,0.05140011290736507
131,T cell,Scaden,umi2counts,Lung,0.5817838872073791,0.08125844958187281
132,skeletal muscle satellite cell,MuSiC,counts2umi,Limb_Muscle,0.7665687035436161,0.07168109752104854
133,mesenchymal stem cell,MuSiC,counts2umi,Limb_Muscle,0.8614893877931192,0.03937047406629357
134,endothelial cell,MuSiC,counts2umi,Limb_Muscle,0.8389577825416294,0.051976909750444014
135,B cell,MuSiC,counts2umi,Limb_Muscle,0.2055687750037023,0.2651778827740372
136,macrophage,MuSiC,counts2umi,Limb_Muscle,0.6534129359506036,0.07996093025824008
137,T cell,MuSiC,counts2umi,Limb_Muscle,0.7459108004297663,0.07519231500719667
138,skeletal muscle satellite cell,MuSiC,umi2counts,Limb_Muscle,0.057376299026767164,0.14881301061765212
139,mesenchymal stem cell,MuSiC,umi2counts,Limb_Muscle,0.7014118060254845,0.12629245962324062
140,endothelial cell,MuSiC,umi2counts,Limb_Muscle,0.21749798927322808,0.34963131375004564
141,B cell,MuSiC,umi2counts,Limb_Muscle,0.00508966788355735,0.17803470709342162
